term,a1_bin,a1_perc,a2_bin,a2_perc
roy moore,2.0,0.027999999999999997,0.0,0.0
weinstein allegations,2.0,0.023,0.0,0.0
franken d-minn,2.0,0.02,0.0,0.0
misconduct allegations,1.0,0.015,0.0,0.0
misconduct weinstein,1.0,0.013000000000000001,0.0,0.0
allegations misconduct,1.0,0.013000000000000001,1.0,0.003
harassment assault,1.0,0.011000000000000001,1.0,0.01
donald trump,1.0,0.011000000000000001,1.0,0.013000000000000001
kevin spacey,1.0,0.01,0.0,0.0
harvey weinstein,1.0,0.01,1.0,0.006
matt lauer,1.0,0.009000000000000001,0.0,0.0
kirsten gillibrand,1.0,0.009000000000000001,0.0,0.0
harassment allegations,1.0,0.009000000000000001,0.0,0.0
franken resign,1.0,0.009000000000000001,0.0,0.0
allegations harassment,1.0,0.009000000000000001,0.0,0.0
leeann tweeden,1.0,0.008,0.0,0.0
doug jones,1.0,0.008,0.0,0.0
assault allegations,1.0,0.008,1.0,0.009000000000000001
senate democrats,1.0,0.006999999999999999,1.0,0.002
john conyers,1.0,0.006999999999999999,0.0,0.0
alabama senate,1.0,0.006999999999999999,0.0,0.0
woody allen,1.0,0.006,1.0,0.001
sexually harassed,1.0,0.006,1.0,0.003
senate roy,1.0,0.006,0.0,0.0
republican roy,1.0,0.006,0.0,0.0
franken's resignation,1.0,0.006,0.0,0.0
brett kavanaugh,1.0,0.006,4.0,0.065
accusations misconduct,1.0,0.006,0.0,0.0
rehearse kiss,1.0,0.005,0.0,0.0
photo franken,1.0,0.005,0.0,0.0
harassment weinstein,1.0,0.005,0.0,0.0
franken groped,1.0,0.005,0.0,0.0
democratic senators,1.0,0.005,1.0,0.002
democrat doug,1.0,0.005,0.0,0.0
alleged misconduct,1.0,0.005,1.0,0.002
alleged incidents,1.0,0.005,0.0,0.0
allegations surfaced,1.0,0.005,0.0,0.0
allegations cosby,1.0,0.005,0.0,0.0
allegations assault,1.0,0.005,1.0,0.003
supreme nominee,1.0,0.004,2.0,0.028999999999999998
