term,a1_bin,a1_perc,a2_bin,a2_perc
roy moore,2.0,0.037000000000000005,10.0,0.29600000000000004
franken d-minn,2.0,0.037000000000000005,1.0,0.004
franken resign,1.0,0.027000000000000003,0.0,0.0
allegations misconduct,1.0,0.017,1.0,0.009000000000000001
harassment allegations,1.0,0.016,1.0,0.002
leeann tweeden,1.0,0.015,1.0,0.003
donald trump,1.0,0.015,1.0,0.024
misconduct allegations,1.0,0.013000000000000001,1.0,0.011000000000000001
democratic franken,1.0,0.012,0.0,0.0
assault allegations,1.0,0.012,1.0,0.002
alabama senate,1.0,0.012,2.0,0.048
john conyers,1.0,0.011000000000000001,1.0,0.005
franken senate,1.0,0.011000000000000001,0.0,0.0
doug jones,1.0,0.011000000000000001,2.0,0.03
allegations harassment,1.0,0.011000000000000001,1.0,0.004
allegations franken,1.0,0.01,0.0,0.0
senate judiciary,1.0,0.009000000000000001,0.0,0.0
accusations misconduct,1.0,0.009000000000000001,1.0,0.004
tweeden franken,1.0,0.008,1.0,0.001
tina smith,1.0,0.008,0.0,0.0
moore allegations,1.0,0.008,1.0,0.015
kirsten gillibrand,1.0,0.008,1.0,0.003
harvey weinstein,1.0,0.008,1.0,0.022000000000000002
franken apologized,1.0,0.008,0.0,0.0
democrats franken,1.0,0.008,1.0,0.004
democratic senators,1.0,0.008,1.0,0.002
senate roy,1.0,0.006999999999999999,2.0,0.057999999999999996
minnesota democrat,1.0,0.006999999999999999,1.0,0.002
franken groping,1.0,0.006999999999999999,0.0,0.0
unwanted advances,1.0,0.006,1.0,0.004
trump campaign,1.0,0.006,1.0,0.001
sexually assaulted,1.0,0.006,1.0,0.006
senate alabama,1.0,0.006,1.0,0.016
presidential campaign,1.0,0.006,0.0,0.0
moore alabama,1.0,0.006,1.0,0.028999999999999998
kissing groping,1.0,0.006,0.0,0.0
franken's resignation,1.0,0.006,1.0,0.002
franken minnesota,1.0,0.006,1.0,0.002
franken d-mn,1.0,0.006,0.0,0.0
senators franken,1.0,0.005,0.0,0.0
senate democrats,1.0,0.005,1.0,0.003
resign allegations,1.0,0.005,0.0,0.0
republican roy,1.0,0.005,1.0,0.016
photo franken,1.0,0.005,0.0,0.0
minnesota democratic,1.0,0.005,0.0,0.0
los angeles,1.0,0.005,1.0,0.004
franken john,1.0,0.005,0.0,0.0
forcibly kissing,1.0,0.005,0.0,0.0
democrat franken,1.0,0.005,1.0,0.002
alabama republican,1.0,0.005,1.0,0.009000000000000001
united senate,1.0,0.004,1.0,0.001
senators calling,1.0,0.004,0.0,0.0
senate republican,1.0,0.004,1.0,0.002
senate franken,1.0,0.004,1.0,0.003
roy moore's,1.0,0.004,1.0,0.012
resignation franken,1.0,0.004,0.0,0.0
republican senate,1.0,0.004,1.0,0.025
nancy pelosi,1.0,0.004,0.0,0.0
leader nancy,1.0,0.004,0.0,0.0
huffpost franken,1.0,0.004,0.0,0.0
hillary clinton,1.0,0.004,0.0,0.0
groping allegations,1.0,0.004,0.0,0.0
franken resigning,1.0,0.004,1.0,0.002
franken misconduct,1.0,0.004,0.0,0.0
franken kissing,1.0,0.004,0.0,0.0
franken harassment,1.0,0.004,0.0,0.0
franken groped,1.0,0.004,0.0,0.0
franken forcibly,1.0,0.004,0.0,0.0
franken democrats,1.0,0.004,0.0,0.0
franken democrat,1.0,0.004,0.0,0.0
franken buttocks,1.0,0.004,0.0,0.0
forcibly kissed,1.0,0.004,0.0,0.0
denies allegations,1.0,0.004,0.0,0.0
democratic minnesota,1.0,0.004,0.0,0.0
democrat doug,1.0,0.004,1.0,0.018000000000000002
credible allegations,1.0,0.004,1.0,0.004
capitol washington,1.0,0.004,0.0,0.0
campaign trump,1.0,0.004,0.0,0.0
calling franken,1.0,0.004,0.0,0.0
alleged misconduct,1.0,0.004,0.0,0.0
allegations clinton,1.0,0.004,0.0,0.0
twitter franken,1.0,0.003,0.0,0.0
trump resign,1.0,0.003,0.0,0.0
trump franken,1.0,0.003,0.0,0.0
trump alleged,1.0,0.003,0.0,0.0
trent franks,1.0,0.003,1.0,0.002
teenage 30s,1.0,0.003,1.0,0.008
susan collins,1.0,0.003,0.0,0.0
smith d-minn,1.0,0.003,0.0,0.0
senate misconduct,1.0,0.003,0.0,0.0
resign senate,1.0,0.003,0.0,0.0
resign misconduct,1.0,0.003,0.0,0.0
producer harvey,1.0,0.003,1.0,0.002
pelosi d-calif,1.0,0.003,0.0,0.0
minnesota franken,1.0,0.003,0.0,0.0
matt lauer,1.0,0.003,1.0,0.005
listens senate,1.0,0.003,0.0,0.0
lisa murkowski,1.0,0.003,0.0,0.0
kissing grabbing,1.0,0.003,0.0,0.0
kevin spacey,1.0,0.003,1.0,0.006999999999999999
huffington franken,1.0,0.003,0.0,0.0
harassment congress,1.0,0.003,0.0,0.0
harassment complaints,1.0,0.003,0.0,0.0
harassment abuse,1.0,0.003,1.0,0.002
handles harassment,1.0,0.003,0.0,0.0
groping uso,1.0,0.003,0.0,0.0
grabbing breasts,1.0,0.003,0.0,0.0
gillibrand d-n,1.0,0.003,0.0,0.0
franken resigns,1.0,0.003,0.0,0.0
franken resigned,1.0,0.003,0.0,0.0
franken photo,1.0,0.003,0.0,0.0
franken media,1.0,0.003,0.0,0.0
franken allegations,1.0,0.003,0.0,0.0
democrats senate,1.0,0.003,0.0,0.0
democrats republicans,1.0,0.003,0.0,0.0
david letterman,1.0,0.003,0.0,0.0
d-minn listens,1.0,0.003,0.0,0.0
colleague franken,1.0,0.003,0.0,0.0
campaign senate,1.0,0.003,0.0,0.0
campaign calling,1.0,0.003,0.0,0.0
breasts sleeping,1.0,0.003,0.0,0.0
bob menendez,1.0,0.003,0.0,0.0
bernie sanders,1.0,0.003,0.0,0.0
arnold reed,1.0,0.003,0.0,0.0
amy klobuchar,1.0,0.003,0.0,0.0
alleged russian,1.0,0.003,0.0,0.0
alleged incidents,1.0,0.003,0.0,0.0
alleged assault,1.0,0.003,0.0,0.0
allegations unwanted,1.0,0.003,0.0,0.0
allegations trump,1.0,0.003,0.0,0.0
allegations false,1.0,0.003,0.0,0.0
allegations conyers,1.0,0.003,0.0,0.0
alabama's election,1.0,0.003,1.0,0.002
woody allen,1.0,0.002,1.0,0.003
women's allegations,1.0,0.002,0.0,0.0
washington franken,1.0,0.002,0.0,0.0
warren d-mass,1.0,0.002,0.0,0.0
uso franken,1.0,0.002,0.0,0.0
united nations,1.0,0.002,0.0,0.0
tweeden photo,1.0,0.002,0.0,0.0
tweeden los,1.0,0.002,0.0,0.0
tv leeann,1.0,0.002,0.0,0.0
trump repeatedly,1.0,0.002,1.0,0.001
trump rally,1.0,0.002,1.0,0.001
trump moore,1.0,0.002,1.0,0.01
trump blamed,1.0,0.002,0.0,0.0
trump allegations,1.0,0.002,1.0,0.001
trump alabama,1.0,0.002,1.0,0.003
trump accusations,1.0,0.002,1.0,0.003
tax conway,1.0,0.002,0.0,0.0
tammy baldwin,1.0,0.002,0.0,0.0
syrian bashar,1.0,0.002,0.0,0.0
supreme nominee,1.0,0.002,0.0,0.0
steve bannon,1.0,0.002,1.0,0.009000000000000001
sexually inappropriate,1.0,0.002,0.0,0.0
sexually harassing,1.0,0.002,0.0,0.0
sexually harassed,1.0,0.002,1.0,0.003
sexually assaulting,1.0,0.002,1.0,0.003
senate tax,1.0,0.002,0.0,0.0
senate supreme,1.0,0.002,0.0,0.0
senate republicans,1.0,0.002,1.0,0.002
senate months-long,1.0,0.002,0.0,0.0
senate minnesota,1.0,0.002,0.0,0.0
senate leader,1.0,0.002,1.0,0.005
senate harassment,1.0,0.002,0.0,0.0
senate election,1.0,0.002,1.0,0.01
senate allegations,1.0,0.002,0.0,0.0
senate accusations,1.0,0.002,0.0,0.0
sebastian kelly,1.0,0.002,0.0,0.0
schumer franken,1.0,0.002,0.0,0.0
sarah huckabee,1.0,0.002,0.0,0.0
