term,a1_bin,a1_perc,a2_bin,a2_perc
aziz ansari,10.0,0.261,0.0,0.0
comedian aziz,2.0,0.040999999999999995,0.0,0.0
grace ansari,1.0,0.02,0.0,0.0
harvey weinstein,1.0,0.017,3.0,0.059000000000000004
samantha bee,1.0,0.013999999999999999,0.0,0.0
indications consensual,1.0,0.013999999999999999,0.0,0.0
aziz ansari's,1.0,0.012,0.0,0.0
ashleigh banfield,1.0,0.012,0.0,0.0
harassment assault,1.0,0.011000000000000001,1.0,0.02
ansari misconduct,1.0,0.011000000000000001,0.0,0.0
non-verbal cues,1.0,0.009000000000000001,0.0,0.0
ansari indications,1.0,0.009000000000000001,0.0,0.0
ansari allegations,1.0,0.009000000000000001,0.0,0.0
james franco,1.0,0.008,0.0,0.0
tarana burke,1.0,0.006999999999999999,1.0,0.011000000000000001
nonverbal cues,1.0,0.006999999999999999,0.0,0.0
bari weiss,1.0,0.006999999999999999,0.0,0.0
babe.net aziz,1.0,0.006999999999999999,0.0,0.0
website babe.net,1.0,0.006,0.0,0.0
website babe,1.0,0.006,0.0,0.0
titled aziz,1.0,0.006,0.0,0.0
time's pin,1.0,0.006,0.0,0.0
los angeles,1.0,0.006,0.0,0.0
grace aziz,1.0,0.006,0.0,0.0
catherine deneuve,1.0,0.006,0.0,0.0
beverly hills,1.0,0.006,0.0,0.0
babe.net ansari,1.0,0.006,0.0,0.0
babe ansari,1.0,0.006,0.0,0.0
ansari responds,1.0,0.006,0.0,0.0
ansari grace,1.0,0.006,0.0,0.0
ansari consensual,1.0,0.006,0.0,0.0
ansari assault,1.0,0.006,0.0,0.0
anonymous woman's,1.0,0.006,0.0,0.0
andrew sullivan,1.0,0.006,0.0,0.0
allegations ansari,1.0,0.006,0.0,0.0
writer katie,1.0,0.005,0.0,0.0
misconduct allegations,1.0,0.005,1.0,0.005
joel mchale,1.0,0.005,0.0,0.0
caitlin flanagan,1.0,0.005,0.0,0.0
ansari's accuser,1.0,0.005,0.0,0.0
ansari woman's,1.0,0.005,0.0,0.0
ansari repeatedly,1.0,0.005,0.0,0.0
writer aziz,1.0,0.004,0.0,0.0
woman's comedian,1.0,0.004,0.0,0.0
woman's ansari,1.0,0.004,0.0,0.0
william macy,1.0,0.004,0.0,0.0
uncomfortable ansari,1.0,0.004,0.0,0.0
timezone_type timezone,1.0,0.004,0.0,0.0
time's campaign,1.0,0.004,0.0,0.0
shitty media,1.0,0.004,0.0,0.0
rape assault,1.0,0.004,0.0,0.0
katie roiphe,1.0,0.004,0.0,0.0
hln anchor,1.0,0.004,0.0,0.0
globes time's,1.0,0.004,0.0,0.0
founder tarana,1.0,0.004,0.0,0.0
daphne merkin,1.0,0.004,0.0,0.0
brigitte bardot,1.0,0.004,0.0,0.0
bee backlash,1.0,0.004,0.0,0.0
bee aziz,1.0,0.004,0.0,0.0
babe detailing,1.0,0.004,0.0,0.0
assault consensual,1.0,0.004,0.0,0.0
ansari romance,1.0,0.004,0.0,0.0
ansari pressured,1.0,0.004,0.0,0.0
ansari nominated,1.0,0.004,0.0,0.0
ansari grace's,1.0,0.004,0.0,0.0
ansari comedian,1.0,0.004,0.0,0.0
workplace harassment,1.0,0.003,1.0,0.004
workplace harasser,1.0,0.003,0.0,0.0
von muffling,1.0,0.003,0.0,0.0
tv aziz,1.0,0.003,0.0,0.0
squad privileged,1.0,0.003,0.0,0.0
sag awards,1.0,0.003,0.0,0.0
responds accusation,1.0,0.003,0.0,0.0
rapist workplace,1.0,0.003,0.0,0.0
rape ruin,1.0,0.003,0.0,0.0
null null,1.0,0.003,0.0,0.0
none's rebuild,1.0,0.003,0.0,0.0
misconduct comedian,1.0,0.003,0.0,0.0
misconduct aziz,1.0,0.003,0.0,0.0
marvelous maisel,1.0,0.003,0.0,0.0
macy shameless,1.0,0.003,0.0,0.0
louis aziz,1.0,0.003,0.0,0.0
lena waithe,1.0,0.003,0.0,0.0
katie babe.net,1.0,0.003,0.0,0.0
hub 3b8569a1,1.0,0.003,0.0,0.0
https cbsnews3.cbsistatic.com,1.0,0.003,0.0,0.0
hln ashleigh,1.0,0.003,0.0,0.0
harvey weinstein's,1.0,0.003,0.0,0.0
harasser aziz,1.0,0.003,0.0,0.0
grace's ansari,1.0,0.003,0.0,0.0
frontal samantha,1.0,0.003,0.0,0.0
feminist website,1.0,0.003,0.0,0.0
ewan mcgregor,1.0,0.003,0.0,0.0
eric klinenberg,1.0,0.003,0.0,0.0
ebbing missouri,1.0,0.003,0.0,0.0
defending ansari,1.0,0.003,0.0,0.0
dating romance,1.0,0.003,0.0,0.0
cues advances,1.0,0.003,0.0,0.0
consent assault,1.0,0.003,0.0,0.0
cbsnews3.cbsistatic.com hub,1.0,0.003,0.0,0.0
c98 a8ee,1.0,0.003,0.0,0.0
billboards ebbing,1.0,0.003,0.0,0.0
babe.net writer,1.0,0.003,0.0,0.0
babe's aziz,1.0,0.003,0.0,0.0
asia argento,1.0,0.003,1.0,0.002
anti feminists,1.0,0.003,0.0,0.0
ansari uncomfortable,1.0,0.003,0.0,0.0
ansari stand-up,1.0,0.003,0.0,0.0
ansari real-life,1.0,0.003,0.0,0.0
ansari none's,1.0,0.003,0.0,0.0
ansari intercourse,1.0,0.003,0.0,0.0
ansari globes,1.0,0.003,0.0,0.0
ansari flashpoint,1.0,0.003,0.0,0.0
ansari feminist,1.0,0.003,0.0,0.0
ansari exposé,1.0,0.003,0.0,0.0
ansari derail,1.0,0.003,0.0,0.0
ansari debacle,1.0,0.003,0.0,0.0
ansari babe.net,1.0,0.003,0.0,0.0
ansari alleged,1.0,0.003,0.0,0.0
ansari accuser,1.0,0.003,0.0,0.0
anonymous grace,1.0,0.003,0.0,0.0
anchor ashleigh,1.0,0.003,0.0,0.0
allegations misconduct,1.0,0.003,1.0,0.008
allegation aziz,1.0,0.003,0.0,0.0
affirmative consent,1.0,0.003,0.0,0.0
actress tv,1.0,0.003,0.0,0.0
accusations assault,1.0,0.003,0.0,0.0
accusation assault,1.0,0.003,0.0,0.0
abuse misconduct,1.0,0.003,0.0,0.0
a8ee c89f3126bbae,1.0,0.003,0.0,0.0
3b8569a1 c98,1.0,0.003,0.0,0.0
women's misgivings,1.0,0.002,0.0,0.0
woman's alleged,1.0,0.002,0.0,0.0
weinstein ansari,1.0,0.002,0.0,0.0
weeding actors,1.0,0.002,0.0,0.0
wealthy celebrity,1.0,0.002,0.0,0.0
waldorf astoria,1.0,0.002,0.0,0.0
violated awkward,1.0,0.002,0.0,0.0
valenti tweeted,1.0,0.002,0.0,0.0
unfolding ansari,1.0,0.002,0.0,0.0
understandable disappointment,1.0,0.002,0.0,0.0
uncomfortable non-verbal,1.0,0.002,0.0,0.0
uncomfortable distressed,1.0,0.002,0.0,0.0
uncomfortable comedian,1.0,0.002,0.0,0.0
u200baziz ansari,1.0,0.002,0.0,0.0
tweets hashtag,1.0,0.002,0.0,0.0
tv fox,1.0,0.002,0.0,0.0
trivializes ___,1.0,0.002,0.0,0.0
timezone datecreated,1.0,0.002,0.0,0.0
timezone 2018-01-,1.0,0.002,0.0,0.0
time's pins,1.0,0.002,1.0,0.001
tab media,1.0,0.002,0.0,0.0
sustained weeding,1.0,0.002,0.0,0.0
supervisors trivializes,1.0,0.002,0.0,0.0
studios actresses,1.0,0.002,0.0,0.0
sterling poses,1.0,0.002,0.0,0.0
statuette william,1.0,0.002,0.0,0.0
stand-up wisconsin,1.0,0.002,0.0,0.0
snl aziz,1.0,0.002,0.0,0.0
slug id,1.0,0.002,0.0,0.0
skit aziz,1.0,0.002,0.0,0.0
sketch snl,1.0,0.002,0.0,0.0
shrine auditorium,1.0,0.002,0.0,0.0
second-wave feminists,1.0,0.002,0.0,0.0
second-wave feminist,1.0,0.002,0.0,0.0
screenplay ceremony,1.0,0.002,0.0,0.0
sam rockwell,1.0,0.002,0.0,0.0
rushing denounce,1.0,0.002,0.0,0.0
romance aziz,1.0,0.002,0.0,0.0
reticence knowingly,1.0,0.002,0.0,0.0
responds misconduct,1.0,0.002,0.0,0.0
renegotiate narratives,1.0,0.002,0.0,0.0
rachel brosnahan,1.0,0.002,0.0,0.0
pseudonymously grace,1.0,0.002,0.0,0.0
promodek null,1.0,0.002,0.0,0.0
producer harvey,1.0,0.002,1.0,0.005
privileged brown-skinned,1.0,0.002,0.0,0.0
poses tv,1.0,0.002,0.0,0.0
poll americans,1.0,0.002,0.0,0.0
pivot diversity,1.0,0.002,0.0,0.0
pin globe,1.0,0.002,0.0,0.0
photographer comedian,1.0,0.002,0.0,0.0
photo aziz,1.0,0.002,0.0,0.0
osita nwanevu,1.0,0.002,0.0,0.0
oscar frontrunner,1.0,0.002,0.0,0.0
oprah dominate,1.0,0.002,0.0,0.0
op-ed ansari,1.0,0.002,0.0,0.0
online babe,1.0,0.002,0.0,0.0
online anonymous,1.0,0.002,0.0,0.0
null duration,1.0,0.002,0.0,0.0
novelist trump,1.0,0.002,0.0,0.0
nominated netflix,1.0,0.002,0.0,0.0
no-show headlines,1.0,0.002,0.0,0.0
night's winners,1.0,0.002,0.0,0.0
netflix aziz,1.0,0.002,0.0,0.0
navigating netflix's,1.0,0.002,0.0,0.0
muffling grace,1.0,0.002,0.0,0.0
molly roberts,1.0,0.002,0.0,0.0
missouri oscar,1.0,0.002,0.0,0.0
misconduct viral,1.0,0.002,0.0,0.0
misconduct allegation,1.0,0.002,0.0,0.0
millennial feminists,1.0,0.002,0.0,0.0
meryl streep,1.0,0.002,0.0,0.0
media time's,1.0,0.002,0.0,0.0
media outlets,1.0,0.002,0.0,0.0
mchale aziz,1.0,0.002,0.0,0.0
mcgregor fargo,1.0,0.002,0.0,0.0
mario batali,1.0,0.002,0.0,0.0
maisel tv,1.0,0.002,0.0,0.0
lumping studios,1.0,0.002,0.0,0.0
lump lousy,1.0,0.002,0.0,0.0
lousy abused,1.0,0.002,0.0,0.0
linger sterling,1.0,0.002,0.0,0.0
liam neeson,1.0,0.002,0.0,0.0
legions countering,1.0,0.002,0.0,0.0
laying misconduct,1.0,0.002,0.0,0.0
lashed banfield,1.0,0.002,0.0,0.0
joshi herrmann,1.0,0.002,0.0,0.0
jia tolentino,1.0,0.002,0.0,0.0
jameela jamil,1.0,0.002,0.0,0.0
imaginary millennial,1.0,0.002,0.0,0.0
ignoring non-verbal,1.0,0.002,0.0,0.0
horrifying accusations,1.0,0.002,0.0,0.0
hollywood's imbalances,1.0,0.002,0.0,0.0
hilton hotel,1.0,0.002,0.0,0.0
headlines violated,1.0,0.002,0.0,0.0
harvard professor,1.0,0.002,0.0,0.0
harassment abuse,1.0,0.002,1.0,0.006
harassed assaulted,1.0,0.002,1.0,0.003
guillermo toro,1.0,0.002,0.0,0.0
guild awards,1.0,0.002,0.0,0.0
grace's reticence,1.0,0.002,0.0,0.0
grace photographer,1.0,0.002,0.0,0.0
grace babe,1.0,0.002,0.0,0.0
grace assault,1.0,0.002,0.0,0.0
globes pivot,1.0,0.002,0.0,0.0
globes carpet,1.0,0.002,0.0,0.0
globes after-party,1.0,0.002,0.0,0.0
globes actress,1.0,0.002,0.0,0.0
globe-winning aziz,1.0,0.002,0.0,0.0
globe awards,1.0,0.002,0.0,0.0
frontrunner globes,1.0,0.002,0.0,0.0
french actress,1.0,0.002,0.0,0.0
franco attends,1.0,0.002,0.0,0.0
franco ansari,1.0,0.002,0.0,0.0
fox globes,1.0,0.002,0.0,0.0
flanagan squad,1.0,0.002,0.0,0.0
feminists pushing,1.0,0.002,0.0,0.0
feminists aziz,1.0,0.002,0.0,0.0
feminist has-been,1.0,0.002,0.0,0.0
factory-floor supervisors,1.0,0.002,0.0,0.0
explosive atlantic,1.0,0.002,0.0,0.0
excesses imaginary,1.0,0.002,0.0,0.0
essay caitlin,1.0,0.002,0.0,0.0
embraced legions,1.0,0.002,0.0,0.0
duration airdate,1.0,0.002,0.0,0.0
diversity linger,1.0,0.002,0.0,0.0
disappointment false,1.0,0.002,0.0,0.0
detailing woman's,1.0,0.002,0.0,0.0
detailing globe-winning,1.0,0.002,0.0,0.0
detailing comedian,1.0,0.002,0.0,0.0
detailing anonymous,1.0,0.002,0.0,0.0
denounce excesses,1.0,0.002,0.0,0.0
deneuve apologized,1.0,0.002,0.0,0.0
debacle proves,1.0,0.002,0.0,0.0
dating gender,1.0,0.002,0.0,0.0
datecreated 2018-01-,1.0,0.002,0.0,0.0
cues uncomfortable,1.0,0.002,0.0,0.0
countering abuse,1.0,0.002,0.0,0.0
constitutes consent,1.0,0.002,0.0,0.0
consent ansari,1.0,0.002,0.0,0.0
comedic persona,1.0,0.002,0.0,0.0
columbia university,1.0,0.002,0.0,0.0
college campuses,1.0,0.002,0.0,0.0
climate online,1.0,0.002,0.0,0.0
clashes anchor,1.0,0.002,0.0,0.0
ceremony hollywood's,1.0,0.002,0.0,0.0
campaign victims,1.0,0.002,0.0,0.0
c89f3126bbae thumbnail,1.0,0.002,0.0,0.0
beverly hilton,1.0,0.002,0.0,0.0
bee ansari's,1.0,0.002,0.0,0.0
banfield criticized,1.0,0.002,0.0,0.0
backlash rape,1.0,0.002,0.0,0.0
backlash feminists,1.0,0.002,0.0,0.0
backlash backlash,1.0,0.002,0.0,0.0
backlash aziz,1.0,0.002,0.0,0.0
backlash ansari,1.0,0.002,0.0,0.0
babe.net woman's,1.0,0.002,0.0,0.0
babe online,1.0,0.002,0.0,0.0
babe arguably,1.0,0.002,0.0,0.0
attends aziz,1.0,0.002,0.0,0.0
atlantic essay,1.0,0.002,0.0,0.0
astoria beverly,1.0,0.002,0.0,0.0
assault inappropriate,1.0,0.002,0.0,0.0
assault collectively,1.0,0.002,0.0,0.0
assault allegation,1.0,0.002,0.0,0.0
asian tv,1.0,0.002,0.0,0.0
ashley judd,1.0,0.002,1.0,0.002
anti backlash,1.0,0.002,0.0,0.0
ansari's dev,1.0,0.002,0.0,0.0
ansari's dating,1.0,0.002,0.0,0.0
ansari's comedic,1.0,0.002,0.0,0.0
ansari's alleged,1.0,0.002,0.0,0.0
ansari website,1.0,0.002,0.0,0.0
ansari violated,1.0,0.002,0.0,0.0
ansari time's,1.0,0.002,0.0,0.0
ansari statuette,1.0,0.002,0.0,0.0
ansari sparks,1.0,0.002,0.0,0.0
ansari skips,1.0,0.002,0.0,0.0
ansari sexually,1.0,0.002,0.0,0.0
ansari scandal,1.0,0.002,0.0,0.0
ansari profile,1.0,0.002,0.0,0.0
ansari picking,1.0,0.002,0.0,0.0
ansari photographer,1.0,0.002,0.0,0.0
ansari penis,1.0,0.002,0.0,0.0
ansari nonverbal,1.0,0.002,0.0,0.0
ansari non-verbal,1.0,0.002,0.0,0.0
ansari klinenberg,1.0,0.002,0.0,0.0
ansari james,1.0,0.002,0.0,0.0
ansari insulted,1.0,0.002,0.0,0.0
ansari indian,1.0,0.002,0.0,0.0
ansari harvey,1.0,0.002,0.0,0.0
ansari globe,1.0,0.002,0.0,0.0
ansari eric,1.0,0.002,0.0,0.0
ansari clashes,1.0,0.002,0.0,0.0
ansari backlash,1.0,0.002,0.0,0.0
ansari attends,1.0,0.002,0.0,0.0
ansari asian,1.0,0.002,0.0,0.0
ansari ansari,1.0,0.002,0.0,0.0
ansari anonymous,1.0,0.002,0.0,0.0
ansari allegation,1.0,0.002,0.0,0.0
ansari aggressive,1.0,0.002,0.0,0.0
ansari accusations,1.0,0.002,0.0,0.0
ansari accusation,1.0,0.002,0.0,0.0
anonymous photographer,1.0,0.002,0.0,0.0
anchor criticized,1.0,0.002,0.0,0.0
alyssa rosenberg,1.0,0.002,0.0,0.0
alleged misconduct,1.0,0.002,1.0,0.002
alleged abusers,1.0,0.002,0.0,0.0
alleged abuse,1.0,0.002,1.0,0.002
allegations comedian,1.0,0.002,0.0,0.0
allegations aziz,1.0,0.002,0.0,0.0
airdate 2018-01-,1.0,0.002,0.0,0.0
ai-jen poo,1.0,0.002,0.0,0.0
after-party beverly,1.0,0.002,0.0,0.0
actresses media,1.0,0.002,0.0,0.0
actresses hypocritical,1.0,0.002,0.0,0.0
actresses factory-floor,1.0,0.002,0.0,0.0
actress screenplay,1.0,0.002,0.0,0.0
actress catherine,1.0,0.002,0.0,0.0
actors renegotiate,1.0,0.002,0.0,0.0
actors guild,1.0,0.002,0.0,0.0
accusations aziz,1.0,0.002,0.0,0.0
accusation misconduct,1.0,0.002,0.0,0.0
abused trivializes,1.0,0.002,0.0,0.0
75th globes,1.0,0.002,0.0,0.0
0117-ctm-dylanfarrow-king-1483636-640x360.jpg https,1.0,0.002,0.0,0.0
zealous babe,1.0,0.001,0.0,0.0
youâ ve,1.0,0.001,0.0,0.0
yorker's weinstein,1.0,0.001,0.0,0.0
yorker's blockbuster,1.0,0.001,0.0,0.0
yorker's aziz,1.0,0.001,0.0,0.0
yorker writer,1.0,0.001,0.0,0.0
yorker reporting,1.0,0.001,0.0,0.0
yorker ovid,1.0,0.001,0.0,0.0
yorker detailing,1.0,0.001,0.0,0.0
yorker bad-sex,1.0,0.001,0.0,0.0
yorker babe.net,1.0,0.001,0.0,0.0
year-old's comedian,1.0,0.001,0.0,0.0
year's somber,1.0,0.001,0.0,0.0
year's pushback,1.0,0.001,0.0,0.0
year's kicked,1.0,0.001,0.0,0.0
year's assaults,1.0,0.001,0.0,0.0
yang explore,1.0,0.001,0.0,0.0
x360 filename,1.0,0.001,0.0,0.0
x-rated ansari,1.0,0.001,0.0,0.0
wrongs smoother,1.0,0.001,0.0,0.0
wrongly grace,1.0,0.001,0.0,0.0
writer tv,1.0,0.001,0.0,0.0
writer revenge,1.0,0.001,0.0,0.0
writer much-read,1.0,0.001,0.0,0.0
writer molly,1.0,0.001,0.0,0.0
writer millennial,1.0,0.001,0.0,0.0
writer lashed,1.0,0.001,0.0,0.0
writer jia,1.0,0.001,0.0,0.0
writer hln's,1.0,0.001,0.0,0.0
writer derogatory,1.0,0.001,0.0,0.0
writ derails,1.0,0.001,0.0,0.0
wortham whisper,1.0,0.001,0.0,0.0
workplaces partners,1.0,0.001,0.0,0.0
workplaces industries,1.0,0.001,0.0,0.0
workplace survivors,1.0,0.001,1.0,0.001
workplace promoting,1.0,0.001,0.0,0.0
workplace generational,1.0,0.001,0.0,0.0
workplace dating,1.0,0.001,0.0,0.0
workplace boss's,1.0,0.001,0.0,0.0
work-in-progress uk,1.0,0.001,0.0,0.0
women's vox,1.0,0.001,0.0,0.0
