term,a1_bin,a1_perc,a2_bin,a2_perc
aziz ansari,10.0,0.261,1.0,0.009000000000000001
comedian aziz,2.0,0.040999999999999995,1.0,0.002
grace ansari,1.0,0.02,0.0,0.0
harvey weinstein,1.0,0.017,3.0,0.054000000000000006
samantha bee,1.0,0.013999999999999999,0.0,0.0
indications consensual,1.0,0.013999999999999999,0.0,0.0
aziz ansari's,1.0,0.012,0.0,0.0
ashleigh banfield,1.0,0.012,0.0,0.0
harassment assault,1.0,0.011000000000000001,1.0,0.016
ansari misconduct,1.0,0.011000000000000001,0.0,0.0
non-verbal cues,1.0,0.009000000000000001,0.0,0.0
ansari indications,1.0,0.009000000000000001,0.0,0.0
ansari allegations,1.0,0.009000000000000001,0.0,0.0
james franco,1.0,0.008,0.0,0.0
tarana burke,1.0,0.006999999999999999,1.0,0.013999999999999999
nonverbal cues,1.0,0.006999999999999999,0.0,0.0
bari weiss,1.0,0.006999999999999999,0.0,0.0
babe.net aziz,1.0,0.006999999999999999,0.0,0.0
website babe.net,1.0,0.006,0.0,0.0
website babe,1.0,0.006,0.0,0.0
titled aziz,1.0,0.006,0.0,0.0
time's pin,1.0,0.006,0.0,0.0
los angeles,1.0,0.006,1.0,0.006999999999999999
grace aziz,1.0,0.006,0.0,0.0
catherine deneuve,1.0,0.006,1.0,0.003
beverly hills,1.0,0.006,0.0,0.0
babe.net ansari,1.0,0.006,0.0,0.0
babe ansari,1.0,0.006,0.0,0.0
ansari responds,1.0,0.006,0.0,0.0
ansari grace,1.0,0.006,0.0,0.0
ansari consensual,1.0,0.006,0.0,0.0
ansari assault,1.0,0.006,0.0,0.0
anonymous woman's,1.0,0.006,0.0,0.0
andrew sullivan,1.0,0.006,0.0,0.0
allegations ansari,1.0,0.006,0.0,0.0
writer katie,1.0,0.005,0.0,0.0
misconduct allegations,1.0,0.005,1.0,0.006
joel mchale,1.0,0.005,0.0,0.0
caitlin flanagan,1.0,0.005,0.0,0.0
ansari's accuser,1.0,0.005,0.0,0.0
ansari woman's,1.0,0.005,0.0,0.0
ansari repeatedly,1.0,0.005,0.0,0.0
writer aziz,1.0,0.004,0.0,0.0
woman's comedian,1.0,0.004,0.0,0.0
woman's ansari,1.0,0.004,0.0,0.0
william macy,1.0,0.004,0.0,0.0
uncomfortable ansari,1.0,0.004,0.0,0.0
timezone_type timezone,1.0,0.004,0.0,0.0
time's campaign,1.0,0.004,0.0,0.0
shitty media,1.0,0.004,0.0,0.0
rape assault,1.0,0.004,0.0,0.0
katie roiphe,1.0,0.004,0.0,0.0
hln anchor,1.0,0.004,0.0,0.0
globes time's,1.0,0.004,0.0,0.0
founder tarana,1.0,0.004,0.0,0.0
daphne merkin,1.0,0.004,0.0,0.0
brigitte bardot,1.0,0.004,0.0,0.0
bee backlash,1.0,0.004,0.0,0.0
bee aziz,1.0,0.004,0.0,0.0
babe detailing,1.0,0.004,0.0,0.0
assault consensual,1.0,0.004,0.0,0.0
ansari romance,1.0,0.004,0.0,0.0
ansari pressured,1.0,0.004,0.0,0.0
ansari nominated,1.0,0.004,0.0,0.0
ansari grace's,1.0,0.004,0.0,0.0
ansari comedian,1.0,0.004,0.0,0.0
workplace harassment,1.0,0.003,1.0,0.001
workplace harasser,1.0,0.003,0.0,0.0
von muffling,1.0,0.003,0.0,0.0
tv aziz,1.0,0.003,0.0,0.0
squad privileged,1.0,0.003,0.0,0.0
sag awards,1.0,0.003,0.0,0.0
responds accusation,1.0,0.003,0.0,0.0
rapist workplace,1.0,0.003,0.0,0.0
rape ruin,1.0,0.003,0.0,0.0
null null,1.0,0.003,0.0,0.0
none's rebuild,1.0,0.003,0.0,0.0
misconduct comedian,1.0,0.003,0.0,0.0
misconduct aziz,1.0,0.003,0.0,0.0
marvelous maisel,1.0,0.003,0.0,0.0
macy shameless,1.0,0.003,0.0,0.0
louis aziz,1.0,0.003,1.0,0.004
lena waithe,1.0,0.003,0.0,0.0
katie babe.net,1.0,0.003,0.0,0.0
hub 3b8569a1,1.0,0.003,0.0,0.0
