term,a1_bin,a1_perc,a2_bin,a2_perc
comedian aziz ansari,5.0,0.032,0.0,0.0
aziz ansari misconduct,2.0,0.01,0.0,0.0
ansari indications consensual,1.0,0.005,0.0,0.0
woman's comedian aziz,1.0,0.004,0.0,0.0
website babe.net ansari,1.0,0.004,0.0,0.0
titled aziz ansari,1.0,0.004,0.0,0.0
louis aziz ansari,1.0,0.004,0.0,0.0
hln ashleigh banfield,1.0,0.004,0.0,0.0
frontal samantha bee,1.0,0.004,0.0,0.0
babe.net aziz ansari,1.0,0.004,0.0,0.0
aziz ansari responds,1.0,0.004,0.0,0.0
aziz ansari netflix,1.0,0.004,0.0,0.0
writer bari weiss,1.0,0.003,0.0,0.0
women's feminism hominem,1.0,0.003,0.0,0.0
william macy shameless,1.0,0.003,0.0,0.0
weeding actors renegotiate,1.0,0.003,0.0,0.0
tv aziz ansari,1.0,0.003,0.0,0.0
tales abuse wafted,1.0,0.003,0.0,0.0
sustained weeding actors,1.0,0.003,0.0,0.0
righted wrongs smoother,1.0,0.003,0.0,0.0
responds accusation assault,1.0,0.003,0.0,0.0
misconduct comedian aziz,1.0,0.003,0.0,0.0
marvelous maisel tv,1.0,0.003,0.0,0.0
lumping studios actresses,1.0,0.003,0.0,0.0
james franco aziz,1.0,0.003,0.0,0.0
humiliation aziz ansari,1.0,0.003,0.0,0.0
grace's aziz ansari,1.0,0.003,0.0,0.0
grace aziz ansari,1.0,0.003,0.0,0.0
franco aziz ansari,1.0,0.003,0.0,0.0
ewan mcgregor fargo,1.0,0.003,0.0,0.0
aziz ansari pressured,1.0,0.003,0.0,0.0
aziz ansari nominated,1.0,0.003,0.0,0.0
aziz ansari exposé,1.0,0.003,0.0,0.0
aziz ansari debacle,1.0,0.003,0.0,0.0
aziz ansari aggressive,1.0,0.003,0.0,0.0
aziz ansari accuser,1.0,0.003,0.0,0.0
ansari tales abuse,1.0,0.003,0.0,0.0
ansari responds accusation,1.0,0.003,0.0,0.0
ansari james franco,1.0,0.003,0.0,0.0
anonymous woman's comedian,1.0,0.003,0.0,0.0
andrew sullivan excesses,1.0,0.003,0.0,0.0
allegations aziz ansari,1.0,0.003,0.0,0.0
actors renegotiate narratives,1.0,0.003,0.0,0.0
actors guild awards,1.0,0.003,0.0,0.0
accusation assault consensual,1.0,0.003,0.0,0.0
"3,000 revenge porn",1.0,0.003,0.0,0.0
wrongs smoother banfield,1.0,0.002,0.0,0.0
workplace harasser aziz,1.0,0.002,0.0,0.0
women's ansari accuser,1.0,0.002,0.0,0.0
