term,a1_bin,a1_perc,a2_bin,a2_perc
cosby,10.0,1.0590000000000002,0.0,0.0
assault,3.0,0.235,1.0,0.092
constand,2.0,0.17,0.0,0.0
accusers,2.0,0.115,0.0,0.0
allegations,1.0,0.083,2.0,0.149
retrial,1.0,0.067,0.0,0.0
drugged,1.0,0.067,0.0,0.0
comedian,1.0,0.067,0.0,0.0
jury,1.0,0.06,0.0,0.0
judge,1.0,0.06,2.0,0.15
testified,1.0,0.057,0.0,0.0
sexually,1.0,0.051,1.0,0.027999999999999997
prosecutors,1.0,0.049,0.0,0.0
sentencing,1.0,0.047,0.0,0.0
pennsylvania,1.0,0.047,0.0,0.0
andrea,1.0,0.046,0.0,0.0
montgomery,1.0,0.040999999999999995,1.0,0.003
convicted,1.0,0.040999999999999995,0.0,0.0
philadelphia,1.0,0.038,0.0,0.0
verdict,1.0,0.036000000000000004,0.0,0.0
temple,1.0,0.036000000000000004,0.0,0.0
norristown,1.0,0.036000000000000004,0.0,0.0
courthouse,1.0,0.036000000000000004,0.0,0.0
university,1.0,0.035,1.0,0.017
jurors,1.0,0.034,0.0,0.0
counts,1.0,0.034,1.0,0.002
molested,1.0,0.032,0.0,0.0
rape,1.0,0.031,0.0,0.0
predator,1.0,0.031,0.0,0.0
pills,1.0,0.031,0.0,0.0
criminal,1.0,0.031,1.0,0.009000000000000001
misconduct,1.0,0.027999999999999997,1.0,0.027999999999999997
dickinson,1.0,0.027000000000000003,0.0,0.0
weinstein,1.0,0.026000000000000002,1.0,0.001
pa,1.0,0.026000000000000002,0.0,0.0
courtroom,1.0,0.026000000000000002,0.0,0.0
trump,1.0,0.025,2.0,0.122
indecent,1.0,0.024,0.0,0.0
celebrity,1.0,0.024,0.0,0.0
prosecution,1.0,0.023,0.0,0.0
o'neill,1.0,0.023,0.0,0.0
victim,1.0,0.022000000000000002,1.0,0.005
aggravated,1.0,0.022000000000000002,0.0,0.0
camille,1.0,0.021,0.0,0.0
abuse,1.0,0.021,1.0,0.004
janice,1.0,0.02,0.0,0.0
basketball,1.0,0.02,1.0,0.003
america's,1.0,0.02,0.0,0.0
women's,1.0,0.019,1.0,0.001
tv,1.0,0.019,1.0,0.004
o'reilly,1.0,0.018000000000000002,0.0,0.0
violent,1.0,0.017,0.0,0.0
lawsuit,1.0,0.017,0.0,0.0
harvey,1.0,0.017,0.0,0.0
arrives,1.0,0.017,0.0,0.0
wyatt,1.0,0.015,0.0,0.0
steele,1.0,0.015,0.0,0.0
media,1.0,0.015,1.0,0.011000000000000001
district,1.0,0.015,1.0,0.005
mesereau,1.0,0.013999999999999999,0.0,0.0
dozens,1.0,0.013999999999999999,1.0,0.002
deposition,1.0,0.013999999999999999,0.0,0.0
crimes,1.0,0.013999999999999999,0.0,0.0
victory,1.0,0.013000000000000001,1.0,0.002
mistrial,1.0,0.013000000000000001,0.0,0.0
harassment,1.0,0.013000000000000001,1.0,0.003
clinton,1.0,0.013000000000000001,1.0,0.017
attorneys,1.0,0.013000000000000001,1.0,0.003
kevin,1.0,0.012,0.0,0.0
false,1.0,0.012,1.0,0.01
consensual,1.0,0.012,0.0,0.0
bail,1.0,0.012,0.0,0.0
american,1.0,0.012,1.0,0.012
photo,1.0,0.011000000000000001,1.0,0.003
lasha,1.0,0.011000000000000001,0.0,0.0
andrew,1.0,0.011000000000000001,1.0,0.002
steven,1.0,0.01,0.0,0.0
quaaludes,1.0,0.01,0.0,0.0
donald,1.0,0.01,1.0,0.02
declined,1.0,0.01,0.0,0.0
calling,1.0,0.01,1.0,0.011000000000000001
academy,1.0,0.01,0.0,0.0
thomas,1.0,0.009000000000000001,1.0,0.005
survivors,1.0,0.009000000000000001,1.0,0.003
protesters,1.0,0.009000000000000001,1.0,0.009000000000000001
liar,1.0,0.009000000000000001,0.0,0.0
jackson,1.0,0.009000000000000001,0.0,0.0
huxtable,1.0,0.009000000000000001,0.0,0.0
hotel,1.0,0.009000000000000001,0.0,0.0
honorary,1.0,0.009000000000000001,0.0,0.0
disgraced,1.0,0.009000000000000001,0.0,0.0
allred,1.0,0.009000000000000001,0.0,0.0
tom,1.0,0.008,0.0,0.0
tahoe,1.0,0.008,0.0,0.0
sue,1.0,0.008,0.0,0.0
star's,1.0,0.008,0.0,0.0
