term,a1_bin,a1_perc,a2_bin,a2_perc
brett kavanaugh,4.0,0.2,0.0,0.0
supreme nominee,2.0,0.081,0.0,0.0
nominee brett,2.0,0.06,0.0,0.0
judge kavanaugh,2.0,0.055,0.0,0.0
christine blasey,2.0,0.055,0.0,0.0
blasey ford,1.0,0.049,0.0,0.0
senate judiciary,1.0,0.044000000000000004,0.0,0.0
kavanaugh's nomination,1.0,0.044000000000000004,0.0,0.0
judge brett,1.0,0.042,0.0,0.0
kavanaugh supreme,1.0,0.035,0.0,0.0
kavanaugh's confirmation,1.0,0.024,0.0,0.0
kavanaugh allegations,1.0,0.023,0.0,0.0
ford kavanaugh,1.0,0.021,0.0,0.0
brett kavanaugh's,1.0,0.021,0.0,0.0
donald trump,1.0,0.02,1.0,0.017
kavanaugh confirmation,1.0,0.019,0.0,0.0
sexually assaulted,1.0,0.017,0.0,0.0
anthony kennedy,1.0,0.016,0.0,0.0
kavanaugh judge,1.0,0.015,0.0,0.0
trump kavanaugh,1.0,0.013999999999999999,0.0,0.0
deborah ramirez,1.0,0.013999999999999999,0.0,0.0
confirmation hearings,1.0,0.013999999999999999,0.0,0.0
roe wade,1.0,0.013000000000000001,0.0,0.0
kavanaugh senate,1.0,0.012,0.0,0.0
judge kavanaugh's,1.0,0.012,0.0,0.0
confirm kavanaugh,1.0,0.012,0.0,0.0
allegations kavanaugh,1.0,0.012,0.0,0.0
kavanaugh sexually,1.0,0.011000000000000001,0.0,0.0
kavanaugh accuser,1.0,0.011000000000000001,0.0,0.0
jeff flake,1.0,0.011000000000000001,0.0,0.0
donald trump's,1.0,0.011000000000000001,1.0,0.002
trump's supreme,1.0,0.01,0.0,0.0
kavanaugh's supreme,1.0,0.01,0.0,0.0
kavanaugh assault,1.0,0.01,0.0,0.0
julie swetnick,1.0,0.01,0.0,0.0
supreme nomination,1.0,0.009000000000000001,0.0,0.0
kavanaugh hearings,1.0,0.009000000000000001,0.0,0.0
kavanaugh ford,1.0,0.009000000000000001,0.0,0.0
kavanaugh assaulted,1.0,0.009000000000000001,0.0,0.0
blasey ford's,1.0,0.009000000000000001,0.0,0.0
trump nominated,1.0,0.008,0.0,0.0
susan collins,1.0,0.008,0.0,0.0
republican senators,1.0,0.008,0.0,0.0
misconduct allegations,1.0,0.008,1.0,0.006999999999999999
kavanaugh trump,1.0,0.008,0.0,0.0
george bush,1.0,0.008,1.0,0.003
democrats kavanaugh,1.0,0.008,0.0,0.0
supreme confirmation,1.0,0.006999999999999999,0.0,0.0
sexually assaulting,1.0,0.006999999999999999,0.0,0.0
senate democrats,1.0,0.006999999999999999,0.0,0.0
kavanaugh testify,1.0,0.006999999999999999,0.0,0.0
kavanaugh nomination,1.0,0.006999999999999999,0.0,0.0
kavanaugh christine,1.0,0.006999999999999999,0.0,0.0
california professor,1.0,0.006999999999999999,0.0,0.0
assault allegations,1.0,0.006999999999999999,0.0,0.0
appeals judge,1.0,0.006999999999999999,0.0,0.0
alleged assault,1.0,0.006999999999999999,0.0,0.0
allegations assault,1.0,0.006999999999999999,0.0,0.0
senate confirmation,1.0,0.006,0.0,0.0
mitch mcconnell,1.0,0.006,0.0,0.0
mazie hirono,1.0,0.006,0.0,0.0
lisa murkowski,1.0,0.006,0.0,0.0
kavanaugh's judge,1.0,0.006,0.0,0.0
kavanaugh's accuser,1.0,0.006,0.0,0.0
kavanaugh republicans,1.0,0.006,0.0,0.0
classmate kavanaugh's,1.0,0.006,0.0,0.0
accuser christine,1.0,0.006,0.0,0.0
yale university,1.0,0.005,0.0,0.0
trump fbi,1.0,0.005,0.0,0.0
senate kavanaugh's,1.0,0.005,0.0,0.0
ramirez kavanaugh,1.0,0.005,0.0,0.0
overturn roe,1.0,0.005,0.0,0.0
nominee supreme,1.0,0.005,0.0,0.0
nomination supreme,1.0,0.005,0.0,0.0
nomination kavanaugh,1.0,0.005,0.0,0.0
michael avenatti,1.0,0.005,0.0,0.0
lindsey graham,1.0,0.005,0.0,0.0
leader mitch,1.0,0.005,0.0,0.0
kavanaugh misconduct,1.0,0.005,0.0,0.0
kavanaugh accusations,1.0,0.005,0.0,0.0
judiciary kavanaugh's,1.0,0.005,0.0,0.0
georgetown prep,1.0,0.005,0.0,0.0
ford california,1.0,0.005,0.0,0.0
fbi kavanaugh,1.0,0.005,0.0,0.0
drunken kavanaugh,1.0,0.005,0.0,0.0
dianne feinstein,1.0,0.005,0.0,0.0
democrats kavanaugh's,1.0,0.005,0.0,0.0
chuck grassley,1.0,0.005,0.0,0.0
appeals washington,1.0,0.005,0.0,0.0
allegations misconduct,1.0,0.005,1.0,0.003
allegations judge,1.0,0.005,0.0,0.0
allegation kavanaugh,1.0,0.005,0.0,0.0
yorker kavanaugh,1.0,0.004,0.0,0.0
trump's nominee,1.0,0.004,0.0,0.0
testify senate,1.0,0.004,0.0,0.0
supreme brett,1.0,0.004,0.0,0.0
senate leader,1.0,0.004,0.0,0.0
senate confirm,1.0,0.004,0.0,0.0
retiring anthony,1.0,0.004,0.0,0.0
republicans kavanaugh,1.0,0.004,0.0,0.0
republicans democrats,1.0,0.004,0.0,0.0
nominee judge,1.0,0.004,0.0,0.0
nominated kavanaugh,1.0,0.004,0.0,0.0
murkowski alaska,1.0,0.004,0.0,0.0
misconduct kavanaugh,1.0,0.004,0.0,0.0
midterm elections,1.0,0.004,0.0,0.0
merrick garland,1.0,0.004,0.0,0.0
kenneth starr's,1.0,0.004,0.0,0.0
kavanaugh's writings,1.0,0.004,0.0,0.0
kavanaugh testified,1.0,0.004,0.0,0.0
kavanaugh kavanaugh,1.0,0.004,0.0,0.0
kavanaugh joe,1.0,0.004,0.0,0.0
kavanaugh fox,1.0,0.004,0.0,0.0
kavanaugh fbi,1.0,0.004,0.0,0.0
kavanaugh donald,1.0,0.004,0.0,0.0
kavanaugh denies,1.0,0.004,0.0,0.0
kavanaugh conservative,1.0,0.004,0.0,0.0
kavanaugh clerks,1.0,0.004,0.0,0.0
joel kaplan,1.0,0.004,0.0,0.0
ford senate,1.0,0.004,0.0,0.0
ford judge,1.0,0.004,0.0,0.0
flake r-ariz,1.0,0.004,0.0,0.0
fbi probe,1.0,0.004,0.0,0.0
district columbia,1.0,0.004,0.0,0.0
confirmation supreme,1.0,0.004,0.0,0.0
chris coons,1.0,0.004,0.0,0.0
capitol washington,1.0,0.004,0.0,0.0
assaulted students,1.0,0.004,0.0,0.0
assault supreme,1.0,0.004,0.0,0.0
alleges kavanaugh,1.0,0.004,0.0,0.0
allegations christine,1.0,0.004,0.0,0.0
allegations brett,1.0,0.004,0.0,0.0
yale classmate,1.0,0.003,0.0,0.0
tweeted kavanaugh,1.0,0.003,0.0,0.0
trump's nomination,1.0,0.003,0.0,0.0
trump supreme,1.0,0.003,0.0,0.0
swetnick kavanaugh,1.0,0.003,0.0,0.0
supreme vacancy,1.0,0.003,0.0,0.0
supreme nominees,1.0,0.003,0.0,0.0
supreme court's,1.0,0.003,0.0,0.0
supreme anthony,1.0,0.003,0.0,0.0
senate kavanaugh,1.0,0.003,0.0,0.0
senate judge,1.0,0.003,0.0,0.0
retiring supreme,1.0,0.003,0.0,0.0
republicans senate,1.0,0.003,0.0,0.0
republicans midterm,1.0,0.003,0.0,0.0
republicans fbi,1.0,0.003,0.0,0.0
republicans confirm,1.0,0.003,0.0,0.0
republican senate,1.0,0.003,0.0,0.0
republican kavanaugh,1.0,0.003,0.0,0.0
raymond kethledge,1.0,0.003,0.0,0.0
protesters kavanaugh,1.0,0.003,0.0,0.0
professor kavanaugh,1.0,0.003,0.0,0.0
professor christine,1.0,0.003,0.0,0.0
nominee senate,1.0,0.003,0.0,0.0
nomination senate,1.0,0.003,0.0,0.0
nomination judge,1.0,0.003,0.0,0.0
nominated brett,1.0,0.003,0.0,0.0
mcconnell senate,1.0,0.003,0.0,0.0
leland keyser,1.0,0.003,0.0,0.0
kenneth starr,1.0,0.003,0.0,0.0
kavanaugh's senate,1.0,0.003,0.0,0.0
kavanaugh's republican,1.0,0.003,0.0,0.0
kavanaugh's hearings,1.0,0.003,0.0,0.0
kavanaugh's accusers,1.0,0.003,0.0,0.0
kavanaugh united,1.0,0.003,0.0,0.0
kavanaugh sworn,1.0,0.003,0.0,0.0
kavanaugh succeed,1.0,0.003,0.0,0.0
kavanaugh roe,1.0,0.003,0.0,0.0
kavanaugh rape,1.0,0.003,0.0,0.0
kavanaugh protesters,1.0,0.003,0.0,0.0
kavanaugh overturn,1.0,0.003,0.0,0.0
kavanaugh opinion,1.0,0.003,0.0,0.0
kavanaugh nominated,1.0,0.003,0.0,0.0
kavanaugh integrity,1.0,0.003,0.0,0.0
kavanaugh dissented,1.0,0.003,0.0,0.0
kavanaugh deserves,1.0,0.003,0.0,0.0
kavanaugh democrats,1.0,0.003,0.0,0.0
kavanaugh college,1.0,0.003,0.0,0.0
kavanaugh appeals,1.0,0.003,0.0,0.0
kavanaugh allegedly,1.0,0.003,0.0,0.0
kavanaugh abortion,1.0,0.003,0.0,0.0
judiciary senate,1.0,0.003,0.0,0.0
judiciary allegations,1.0,0.003,0.0,0.0
judicial crisis,1.0,0.003,0.0,0.0
judge merrick,1.0,0.003,0.0,0.0
john roberts,1.0,0.003,0.0,0.0
joe donnelly,1.0,0.003,0.0,0.0
independent counsel,1.0,0.003,0.0,0.0
heidi heitkamp,1.0,0.003,0.0,0.0
hearings supreme,1.0,0.003,0.0,0.0
haynes nomination,1.0,0.003,0.0,0.0
ford's allegations,1.0,0.003,0.0,0.0
ford's allegation,1.0,0.003,0.0,0.0
ford sexually,1.0,0.003,0.0,0.0
ford kavanaugh's,1.0,0.003,0.0,0.0
ford assault,1.0,0.003,0.0,0.0
fbi kavanaugh's,1.0,0.003,0.0,0.0
fbi assault,1.0,0.003,0.0,0.0
eyewitnesses kavanaugh,1.0,0.003,0.0,0.0
embattled supreme,1.0,0.003,0.0,0.0
deserves supreme,1.0,0.003,0.0,0.0
democrats senate,1.0,0.003,0.0,0.0
democratic senators,1.0,0.003,0.0,0.0
counsel kenneth,1.0,0.003,0.0,0.0
conservative supreme,1.0,0.003,0.0,0.0
confirmation kavanaugh,1.0,0.003,0.0,0.0
confirmation allegations,1.0,0.003,0.0,0.0
coney barrett,1.0,0.003,0.0,0.0
columbia circuit,1.0,0.003,0.0,0.0
collins kavanaugh,1.0,0.003,0.0,0.0
capitol supreme,1.0,0.003,0.0,0.0
calling kavanaugh,1.0,0.003,0.0,0.0
avenatti tweeted,1.0,0.003,0.0,0.0
assault kavanaugh,1.0,0.003,0.0,0.0
assault allegation,1.0,0.003,0.0,0.0
amy coney,1.0,0.003,0.0,0.0
allegations supreme,1.0,0.003,0.0,0.0
allegations ford,1.0,0.003,0.0,0.0
allegation deborah,1.0,0.003,0.0,0.0
accuses kavanaugh,1.0,0.003,0.0,0.0
accuser julie,1.0,0.003,0.0,0.0
accuser deborah,1.0,0.003,0.0,0.0
accuse kavanaugh,1.0,0.003,0.0,0.0
zone twilight,1.0,0.002,0.0,0.0
yorker detailing,1.0,0.002,0.0,0.0
yale students,1.0,0.002,0.0,0.0
yale professor,1.0,0.002,0.0,0.0
yale kavanaugh,1.0,0.002,0.0,0.0
woman's allegation,1.0,0.002,0.0,0.0
washington reuters,1.0,0.002,0.0,0.0
washington insider,1.0,0.002,0.0,0.0
washington fbi,1.0,0.002,0.0,0.0
washington dc,1.0,0.002,0.0,0.0
wade legitimate,1.0,0.002,0.0,0.0
university professor,1.0,0.002,0.0,0.0
united nixon,1.0,0.002,0.0,0.0
unequivocally allegation,1.0,0.002,0.0,0.0
undermine supreme,1.0,0.002,0.0,0.0
ultimately kavanaugh,1.0,0.002,0.0,0.0
twitter users,1.0,0.002,0.0,0.0
twilight zone,1.0,0.002,0.0,0.0
trump republican,1.0,0.002,1.0,0.002
trump picks,1.0,0.002,0.0,0.0
trump conservative,1.0,0.002,0.0,0.0
trump apologizes,1.0,0.002,0.0,0.0
trump allegations,1.0,0.002,1.0,0.002
trump accusers,1.0,0.002,0.0,0.0
topeka kansas,1.0,0.002,0.0,0.0
threats harassment,1.0,0.002,0.0,0.0
thomas hardiman,1.0,0.002,0.0,0.0
testify judiciary,1.0,0.002,0.0,0.0
testified senate,1.0,0.002,0.0,0.0
testified kavanaugh,1.0,0.002,0.0,0.0
tennessee kavanaugh,1.0,0.002,0.0,0.0
teenagers 1980s,1.0,0.002,0.0,0.0
ted cruz,1.0,0.002,0.0,0.0
tearful senate,1.0,0.002,0.0,0.0
talks washington,1.0,0.002,0.0,0.0
swetnick michael,1.0,0.002,0.0,0.0
supreme united,1.0,0.002,0.0,0.0
supreme republican,1.0,0.002,0.0,0.0
supreme nominee's,1.0,0.002,0.0,0.0
supreme judge,1.0,0.002,0.0,0.0
supreme abortion,1.0,0.002,0.0,0.0
supporters reproductive,1.0,0.002,0.0,0.0
succeed retiring,1.0,0.002,0.0,0.0
students maryland,1.0,0.002,0.0,0.0
spokeswoman kerri,1.0,0.002,0.0,0.0
speculation supporters,1.0,0.002,0.0,0.0
smear campaign,1.0,0.002,0.0,0.0
sexual-assault allegations,1.0,0.002,0.0,0.0
senators rally,1.0,0.002,0.0,0.0
senators ford,1.0,0.002,0.0,0.0
senate republicans,1.0,0.002,0.0,0.0
senate republican,1.0,0.002,0.0,0.0
senate jeff,1.0,0.002,0.0,0.0
senate christine,1.0,0.002,0.0,0.0
scotus nominee,1.0,0.002,0.0,0.0
sara boboltz,1.0,0.002,0.0,0.0
ruined brett,1.0,0.002,0.0,0.0
richard blumenthal,1.0,0.002,0.0,0.0
reuters donald,1.0,0.002,0.0,0.0
republicans trump's,1.0,0.002,0.0,0.0
republicans brett,1.0,0.002,0.0,0.0
republican kavanaugh's,1.0,0.002,0.0,0.0
republican george,1.0,0.002,0.0,0.0
reproductive trump,1.0,0.002,0.0,0.0
renate alumnius,1.0,0.002,0.0,0.0
reliably conservative,1.0,0.002,0.0,0.0
