term,a1_bin,a1_perc,a2_bin,a2_perc
leader kevin mccarthy,10.0,0.028999999999999998,0.0,0.0
kevin de león,8.0,0.023,0.0,0.0
warriors kevin durant,5.0,0.015,0.0,0.0
reuters kevin lamarque,5.0,0.013999999999999999,0.0,0.0
kevin de bruyne,4.0,0.011000000000000001,0.0,0.0
kevin mccarthy r-calif,4.0,0.01,0.0,0.0
kevin brady r-texas,3.0,0.009000000000000001,0.0,0.0
editing kevin drawbaugh,3.0,0.009000000000000001,0.0,0.0
ceo kevin johnson,3.0,0.009000000000000001,0.0,0.0
editing kevin liffey,3.0,0.008,0.0,0.0
kevin lamarque reuters,3.0,0.006999999999999999,0.0,0.0
tem kevin de,2.0,0.006,0.0,0.0
senate pro tem,2.0,0.006,0.0,0.0
senate leader kevin,2.0,0.006,0.0,0.0
pro tem kevin,2.0,0.006,0.0,0.0
leader kevin de,2.0,0.006,0.0,0.0
kevin hassett economic,2.0,0.006,0.0,0.0
kevin brady texas,2.0,0.006,0.0,0.0
hassett economic advisers,2.0,0.006,0.0,0.0
starbucks ceo kevin,2.0,0.005,0.0,0.0
mccarthy steve scalise,2.0,0.005,0.0,0.0
kevin wexler northjersey.com,2.0,0.005,0.0,0.0
kevin getty naras,2.0,0.005,0.0,0.0
kevin cox getty,2.0,0.005,0.0,0.0
kevin brady r-tex,2.0,0.005,0.0,0.0
customs kevin mcaleenan,2.0,0.005,0.0,0.0
cards kevin spacey,2.0,0.005,0.0,0.0
owens sami zayn,2.0,0.004,0.0,0.0
león d-los angeles,2.0,0.004,0.0,0.0
kevin spacey allegations,2.0,0.004,0.0,0.0
kevin owens sami,2.0,0.004,0.0,0.0
kevin mccarthy steve,2.0,0.004,0.0,0.0
kevin mazur getty,2.0,0.004,0.0,0.0
kevin frayer getty,2.0,0.004,0.0,0.0
kevin cramer r-n,2.0,0.004,0.0,0.0
kevin brady r-tx,2.0,0.004,0.0,0.0
james kevin durant,2.0,0.004,0.0,0.0
de león d-los,2.0,0.004,0.0,0.0
comedian kevin hart,2.0,0.004,0.0,0.0
allegations kevin spacey,2.0,0.004,0.0,0.0
xyz xyz xyz,1.0,0.003,0.0,0.0
weinstein kevin spacey,1.0,0.003,1.0,0.001
tax kevin brady,1.0,0.003,0.0,0.0
sheriff kevin stanton,1.0,0.003,0.0,0.0
republican kevin cramer,1.0,0.003,0.0,0.0
reporting steve holland,1.0,0.003,0.0,0.0
pinfall shinsuke nakamura,1.0,0.003,0.0,0.0
paul ryan kevin,1.0,0.003,0.0,0.0
nba finals mvp,1.0,0.003,0.0,0.0
native american talkers,1.0,0.003,0.0,0.0
lebron james kevin,1.0,0.003,0.0,0.0
kevin nicholson wisconsin,1.0,0.003,0.0,0.0
kevin mccarthy california,1.0,0.003,0.0,0.0
kevin janson neal,1.0,0.003,0.0,0.0
kevin hagen getty,1.0,0.003,0.0,0.0
kevin durant nba,1.0,0.003,0.0,0.0
kevin brady tax,1.0,0.003,0.0,0.0
kevin brady republican,1.0,0.003,0.0,0.0
huffpost's kevin robillard,1.0,0.003,0.0,0.0
hosts honouring native,1.0,0.003,0.0,0.0
honouring native american,1.0,0.003,0.0,0.0
deputy sheriff kevin,1.0,0.003,0.0,0.0
de bruyne eden,1.0,0.003,0.0,0.0
curry kevin durant,1.0,0.003,0.0,0.0
cleveland cavaliers kevin,1.0,0.003,0.0,0.0
california kevin de,1.0,0.003,0.0,0.0
bruyne eden hazard,1.0,0.003,0.0,0.0
anthony rapp spacey,1.0,0.003,0.0,0.0
zayn baron corbin,1.0,0.002,0.0,0.0
wwe royal rumble,1.0,0.002,0.0,0.0
withdraw paris climate,1.0,0.002,0.0,0.0
wildcats kevin knox,1.0,0.002,0.0,0.0
violence nicole sealey,1.0,0.002,0.0,0.0
viewing iec 61966-2,1.0,0.002,0.0,0.0
university economist john,1.0,0.002,0.0,0.0
uncovers allegations kevin,1.0,0.002,0.0,0.0
trump listens epa,1.0,0.002,0.0,0.0
trump gestures hosts,1.0,0.002,0.0,0.0
trek discovery anthony,1.0,0.002,0.0,0.0
tiffany haddish kevin,1.0,0.002,0.0,0.0
thomas begay peter,1.0,0.002,0.0,0.0
talkers thomas begay,1.0,0.002,0.0,0.0
systrom mike krieger,1.0,0.002,0.0,0.0
steve scalise kevin,1.0,0.002,0.0,0.0
steve holland ayesha,1.0,0.002,0.0,0.0
steph curry kevin,1.0,0.002,0.0,0.0
stanford university economist,1.0,0.002,0.0,0.0
srgb iec 61966-2,1.0,0.002,0.0,0.0
spacey's frank underwood,1.0,0.002,0.0,0.0
spacey sexually harassing,1.0,0.002,0.0,0.0
spacey allegations misconduct,1.0,0.002,0.0,0.0
sophie louet paris,1.0,0.002,0.0,0.0
sixth cards kevin,1.0,0.002,0.0,0.0
senate orrin hatch,1.0,0.002,0.0,0.0
senate kevin de,1.0,0.002,0.0,0.0
scalise kevin mccarthy,1.0,0.002,0.0,0.0
sarah lynch editing,1.0,0.002,0.0,0.0
sami zayn baron,1.0,0.002,0.0,0.0
ryan leader kevin,1.0,0.002,0.0,0.0
ryan kevin mccarthy,1.0,0.002,0.0,0.0
ryan kevin brady,1.0,0.002,0.0,0.0
reshot christopher plummer,1.0,0.002,0.0,0.0
republican trump pardon,1.0,0.002,0.0,0.0
rapp spacey sexually,1.0,0.002,0.0,0.0
r-tex drafting tax,1.0,0.002,0.0,0.0
photoshop 3.0 8bim,1.0,0.002,0.0,0.0
photo kevin lamarque,1.0,0.002,0.0,0.0
photo kevin getty,1.0,0.002,0.0,0.0
photo kevin frayer,1.0,0.002,0.0,0.0
photo kevin cox,1.0,0.002,0.0,0.0
peter mcdonald andrew,1.0,0.002,0.0,0.0
paul ryan leader,1.0,0.002,0.0,0.0
paul getty iii,1.0,0.002,0.0,0.0
paris climate agreement,1.0,0.002,0.0,0.0
orrin hatch kevin,1.0,0.002,0.0,0.0
nba warriors kevin,1.0,0.002,0.0,0.0
mvp kevin durant,1.0,0.002,0.0,0.0
monster nascar cup,1.0,0.002,0.0,0.0
misconduct kevin spacey,1.0,0.002,0.0,0.0
mcdonald andrew jackson,1.0,0.002,0.0,0.0
mccarthy republican trump,1.0,0.002,0.0,0.0
martin truex ford,1.0,0.002,0.0,0.0
lynch editing kevin,1.0,0.002,0.0,0.0
london uncovers allegations,1.0,0.002,0.0,0.0
listens epa administrator,1.0,0.002,0.0,0.0
laura koran kevin,1.0,0.002,0.0,0.0
koran kevin liptak,1.0,0.002,0.0,0.0
kimbo slice ferguson,1.0,0.002,0.0,0.0
kidnapping john paul,1.0,0.002,0.0,0.0
kevin warsh economic,1.0,0.002,0.0,0.0
kevin violence nicole,1.0,0.002,0.0,0.0
kevin thomas zehnle,1.0,0.002,0.0,0.0
kevin systrom mike,1.0,0.002,0.0,0.0
kevin spacey's cards,1.0,0.002,0.0,0.0
kevin spacey louis,1.0,0.002,0.0,0.0
kevin spacey actress,1.0,0.002,0.0,0.0
kevin sheekey bloomberg,1.0,0.002,0.0,0.0
kevin mccarthy republican,1.0,0.002,0.0,0.0
kevin mccarthy leader,1.0,0.002,0.0,0.0
kevin mcaleenan referring,1.0,0.002,0.0,0.0
kevin lamarque rc17a69e87d0,1.0,0.002,0.0,0.0
kevin lamarque photo,1.0,0.002,0.0,0.0
kevin kyrie irving,1.0,0.002,0.0,0.0
kevin kimbo slice,1.0,0.002,0.0,0.0
kevin johnson apologized,1.0,0.002,0.0,0.0
kevin jiang orthopedic,1.0,0.002,0.0,0.0
kevin jairaj-usa sports,1.0,0.002,0.0,0.0
kevin harvick kyle,1.0,0.002,0.0,0.0
kevin hart philadelphia,1.0,0.002,0.0,0.0
kevin hart jack,1.0,0.002,0.0,0.0
kevin durant warriors,1.0,0.002,0.0,0.0
kevin durant scored,1.0,0.002,0.0,0.0
kevin durant draymond,1.0,0.002,0.0,0.0
kevin durant celebrates,1.0,0.002,0.0,0.0
kevin dupuy alicia,1.0,0.002,0.0,0.0
kevin drawbaugh rosalba,1.0,0.002,0.0,0.0
kevin de leon,1.0,0.002,0.0,0.0
kevin daley supreme,1.0,0.002,0.0,0.0
kevin corke brussels,1.0,0.002,0.0,0.0
kevin cirilli bloomberg,1.0,0.002,0.0,0.0
kevin acquaintance tyler,1.0,0.002,0.0,0.0
kentucky kevin knox,1.0,0.002,0.0,0.0
kansas kevin yoder,1.0,0.002,0.0,0.0
