term,a1_bin,a1_perc,a2_bin,a2_perc
ford,10.0,0.9790000000000001,1.0,0.003
kavanaugh,6.0,0.516,0.0,0.0
blasey,4.0,0.363,0.0,0.0
christine,3.0,0.275,0.0,0.0
allegations,3.0,0.257,1.0,0.046
assault,3.0,0.21600000000000003,1.0,0.017
senate,2.0,0.19,1.0,0.035
brett,2.0,0.113,0.0,0.0
judiciary,2.0,0.111,0.0,0.0
republicans,2.0,0.10800000000000001,0.0,0.0
testify,2.0,0.10400000000000001,1.0,0.003
accuser,1.0,0.094,0.0,0.0
judge,1.0,0.09300000000000001,1.0,0.005
supreme,1.0,0.092,1.0,0.002
nominee,1.0,0.077,1.0,0.002
democrats,1.0,0.07200000000000001,0.0,0.0
trump,1.0,0.065,1.0,0.04
fbi,1.0,0.063,1.0,0.002
sexually,1.0,0.061,1.0,0.005
washington,1.0,0.045,1.0,0.011000000000000001
professor,1.0,0.045,1.0,0.002
grassley,1.0,0.045,0.0,0.0
mitchell,1.0,0.038,0.0,0.0
confirmation,1.0,0.036000000000000004,0.0,0.0
1980s,1.0,0.035,0.0,0.0
california,1.0,0.034,1.0,0.027000000000000003
teenagers,1.0,0.03,0.0,0.0
feinstein,1.0,0.026000000000000002,1.0,0.01
nomination,1.0,0.024,1.0,0.006
credible,1.0,0.024,0.0,0.0
misconduct,1.0,0.022000000000000002,1.0,0.021
corroborate,1.0,0.022000000000000002,0.0,0.0
university,1.0,0.021,1.0,0.012
ramirez,1.0,0.021,1.0,0.002
investigate,1.0,0.02,0.0,0.0
rape,1.0,0.018000000000000002,0.0,0.0
prosecutor,1.0,0.018000000000000002,0.0,0.0
chuck,1.0,0.018000000000000002,0.0,0.0
tweets,1.0,0.016,0.0,0.0
rachel,1.0,0.016,0.0,0.0
attorneys,1.0,0.016,0.0,0.0
katz,1.0,0.015,0.0,0.0
hearings,1.0,0.015,0.0,0.0
groped,1.0,0.015,0.0,0.0
gop,1.0,0.015,1.0,0.016
drunken,1.0,0.015,1.0,0.004
victims,1.0,0.013999999999999999,1.0,0.004
polygraph,1.0,0.013999999999999999,0.0,0.0
palo,1.0,0.013999999999999999,0.0,0.0
mocking,1.0,0.013999999999999999,0.0,0.0
interviewed,1.0,0.013999999999999999,0.0,0.0
donald,1.0,0.013999999999999999,1.0,0.006999999999999999
dianne,1.0,0.013999999999999999,1.0,0.006999999999999999
deborah,1.0,0.013999999999999999,0.0,0.0
anita,1.0,0.013999999999999999,0.0,0.0
alto,1.0,0.013999999999999999,0.0,0.0
thomas,1.0,0.013000000000000001,1.0,0.006
pinned,1.0,0.013000000000000001,0.0,0.0
collins,1.0,0.013000000000000001,1.0,0.003
threats,1.0,0.012,0.0,0.0
requests,1.0,0.012,1.0,0.003
rally,1.0,0.012,1.0,0.002
graham,1.0,0.012,1.0,0.003
twitter,1.0,0.011000000000000001,1.0,0.011000000000000001
sworn,1.0,0.011000000000000001,0.0,0.0
psychology,1.0,0.011000000000000001,0.0,0.0
mississippi,1.0,0.011000000000000001,0.0,0.0
maryland,1.0,0.011000000000000001,1.0,0.003
lawmakers,1.0,0.011000000000000001,1.0,0.003
harassment,1.0,0.011000000000000001,1.0,0.011000000000000001
fox,1.0,0.011000000000000001,1.0,0.009000000000000001
counsel,1.0,0.011000000000000001,1.0,0.004
clarence,1.0,0.011000000000000001,1.0,0.003
swetnick,1.0,0.01,0.0,0.0
survivors,1.0,0.01,0.0,0.0
students,1.0,0.01,1.0,0.002
conservative,1.0,0.01,1.0,0.006999999999999999
cnn,1.0,0.01,0.0,0.0
therapist,1.0,0.009000000000000001,0.0,0.0
keyser,1.0,0.009000000000000001,0.0,0.0
hatch,1.0,0.009000000000000001,0.0,0.0
flake,1.0,0.009000000000000001,0.0,0.0
d-calif,1.0,0.009000000000000001,0.0,0.0
