term,a1_bin,a1_perc,a2_bin,a2_perc
harassment assault,10.0,0.055999999999999994,3.0,0.016
harassment allegations,8.0,0.043,1.0,0.002
harvey weinstein,8.0,0.04,10.0,0.054000000000000006
allegations harassment,7.0,0.035,0.0,0.0
sexually assaulted,4.0,0.019,0.0,0.0
harassment complaints,4.0,0.019,0.0,0.0
sexually harassed,4.0,0.018000000000000002,1.0,0.003
producer harvey,3.0,0.015,4.0,0.017
misconduct allegations,3.0,0.013999999999999999,2.0,0.006
allegations misconduct,3.0,0.013999999999999999,2.0,0.006
sexually harassing,3.0,0.013000000000000001,0.0,0.0
los angeles,3.0,0.013000000000000001,2.0,0.006999999999999999
assault harassment,3.0,0.013000000000000001,3.0,0.013000000000000001
workplace harassment,3.0,0.012,1.0,0.001
accusations harassment,3.0,0.012,0.0,0.0
harassment misconduct,2.0,0.01,1.0,0.002
harassment discrimination,2.0,0.01,0.0,0.0
harassment abuse,2.0,0.01,2.0,0.009000000000000001
unwanted advances,2.0,0.009000000000000001,0.0,0.0
harassment workplace,2.0,0.008,1.0,0.002
allegations assault,2.0,0.008,0.0,0.0
weinstein harassment,2.0,0.006999999999999999,1.0,0.002
victims harassment,2.0,0.006999999999999999,1.0,0.003
senate harassment,2.0,0.006999999999999999,0.0,0.0
roy moore,2.0,0.006999999999999999,3.0,0.015
matt lauer,2.0,0.006999999999999999,7.0,0.038
john conyers,2.0,0.006999999999999999,2.0,0.006
harassment violence,2.0,0.006999999999999999,0.0,0.0
donald trump,2.0,0.006999999999999999,1.0,0.004
weinstein scandal,2.0,0.006,1.0,0.002
survivors harassment,1.0,0.005,1.0,0.001
survivors assault,1.0,0.005,2.0,0.006
supreme nominee,1.0,0.005,0.0,0.0
sexually assaulting,1.0,0.005,0.0,0.0
sexually abused,1.0,0.005,1.0,0.002
senate judiciary,1.0,0.005,0.0,0.0
roger ailes,1.0,0.005,1.0,0.002
media harassment,1.0,0.005,0.0,0.0
judge alex,1.0,0.005,0.0,0.0
harvey weinstein's,1.0,0.005,1.0,0.003
harassment victims,1.0,0.005,0.0,0.0
harassment scandals,1.0,0.005,1.0,0.003
harassment lawsuit,1.0,0.005,0.0,0.0
harassment complaint,1.0,0.005,0.0,0.0
harassment capitol,1.0,0.005,0.0,0.0
clarence thomas,1.0,0.005,0.0,0.0
campaign harassment,1.0,0.005,0.0,0.0
alleged harassment,1.0,0.005,0.0,0.0
allegations producer,1.0,0.005,1.0,0.003
weinstein allegations,1.0,0.004,2.0,0.01
trump misconduct,1.0,0.004,0.0,0.0
resign harassment,1.0,0.004,0.0,0.0
rampant harassment,1.0,0.004,0.0,0.0
pervasive harassment,1.0,0.004,0.0,0.0
misconduct los,1.0,0.004,0.0,0.0
mcdonald's harassment,1.0,0.004,0.0,0.0
kirsten gillibrand,1.0,0.004,0.0,0.0
kevin spacey,1.0,0.004,8.0,0.04
journalist charlie,1.0,0.004,1.0,0.002
jeffrey tambor,1.0,0.004,1.0,0.003
harassment rape,1.0,0.004,0.0,0.0
harassment accusations,1.0,0.004,0.0,0.0
dustin hoffman,1.0,0.004,2.0,0.009000000000000001
discrimination harassment,1.0,0.004,0.0,0.0
christine blasey,1.0,0.004,0.0,0.0
celebrity chef,1.0,0.004,0.0,0.0
brett kavanaugh,1.0,0.004,1.0,0.002
blasey ford,1.0,0.004,0.0,0.0
assault allegations,1.0,0.004,1.0,0.003
alex kozinski,1.0,0.004,0.0,0.0
abuse allegations,1.0,0.004,0.0,0.0
21st fox,1.0,0.004,0.0,0.0
university cincinnati,1.0,0.003,0.0,0.0
twitter harassment,1.0,0.003,1.0,0.001
trump harassment,1.0,0.003,0.0,0.0
trump allegations,1.0,0.003,0.0,0.0
transparent harassment,1.0,0.003,0.0,0.0
sexually aggressive,1.0,0.003,0.0,0.0
sexual-harassment allegations,1.0,0.003,0.0,0.0
resigns harassment,1.0,0.003,0.0,0.0
resigned allegations,1.0,0.003,0.0,0.0
ratner misconduct,1.0,0.003,0.0,0.0
rape assault,1.0,0.003,0.0,0.0
nominee brett,1.0,0.003,0.0,0.0
mogul harvey,1.0,0.003,0.0,0.0
misconduct workplace,1.0,0.003,0.0,0.0
misconduct scandal,1.0,0.003,0.0,0.0
misconduct harassment,1.0,0.003,1.0,0.002
misconduct accusations,1.0,0.003,1.0,0.003
leslie moonves,1.0,0.003,1.0,0.002
johnny iuzzini,1.0,0.003,0.0,0.0
inappropriate workplace,1.0,0.003,0.0,0.0
harassment surfaced,1.0,0.003,0.0,0.0
harassment settlements,1.0,0.003,0.0,0.0
harassment scandal,1.0,0.003,0.0,0.0
harassment retaliation,1.0,0.003,0.0,0.0
harassment lawsuits,1.0,0.003,0.0,0.0
harassment incidents,1.0,0.003,0.0,0.0
harassment harvey,1.0,0.003,0.0,0.0
harassment harassment,1.0,0.003,0.0,0.0
harassment fox,1.0,0.003,0.0,0.0
harassment congress,1.0,0.003,0.0,0.0
harassed assaulted,1.0,0.003,1.0,0.003
grappled harassment,1.0,0.003,0.0,0.0
gender sexuality,1.0,0.003,0.0,0.0
gender discrimination,1.0,0.003,0.0,0.0
experiencing harassment,1.0,0.003,0.0,0.0
dallas mavericks,1.0,0.003,0.0,0.0
confirmation hearings,1.0,0.003,0.0,0.0
complaints harassment,1.0,0.003,0.0,0.0
burke campaign,1.0,0.003,0.0,0.0
bullying harassment,1.0,0.003,0.0,0.0
assault rape,1.0,0.003,1.0,0.003
anti-sexual harassment,1.0,0.003,0.0,0.0
anti-harassment anti-discrimination,1.0,0.003,0.0,0.0
american baking,1.0,0.003,0.0,0.0
american atheists,1.0,0.003,0.0,0.0
alyssa milano,1.0,0.003,2.0,0.009000000000000001
