term,a1_bin,a1_perc,a2_bin,a2_perc
senate roy moore,8.0,0.045,1.0,0.004
republican roy moore,6.0,0.034,0.0,0.0
roy moore alabama,5.0,0.025,1.0,0.001
democrat doug jones,4.0,0.021,0.0,0.0
republican senate roy,4.0,0.019,1.0,0.002
alabama senate roy,3.0,0.016,0.0,0.0
roy moore senate,3.0,0.015,0.0,0.0
judge roy moore,3.0,0.015,0.0,0.0
alabama roy moore,3.0,0.013000000000000001,0.0,0.0
moore alabama senate,3.0,0.012,0.0,0.0
nominee roy moore,2.0,0.011000000000000001,0.0,0.0
alabama republican senate,2.0,0.011000000000000001,1.0,0.002
leader mitch mcconnell,2.0,0.01,0.0,0.0
allegations roy moore,2.0,0.01,0.0,0.0
roy moore misconduct,2.0,0.009000000000000001,0.0,0.0
roy moore allegations,2.0,0.009000000000000001,0.0,0.0
roy moore republican,2.0,0.008,0.0,0.0
alabama senate election,2.0,0.008,0.0,0.0
alabama republican roy,2.0,0.008,0.0,0.0
senate leader mitch,2.0,0.006999999999999999,0.0,0.0
republicans roy moore,2.0,0.006999999999999999,0.0,0.0
moore allegations misconduct,2.0,0.006999999999999999,0.0,0.0
leigh corfman moore,2.0,0.006999999999999999,0.0,0.0
roy moore democrat,2.0,0.006,0.0,0.0
roy moore campaign,2.0,0.006,0.0,0.0
endorsement roy moore,2.0,0.006,0.0,0.0
democratic doug jones,2.0,0.006,0.0,0.0
strategist steve bannon,1.0,0.005,1.0,0.002
senate nominee roy,1.0,0.005,0.0,0.0
roy moore tuesday's,1.0,0.005,0.0,0.0
roy moore gop,1.0,0.005,0.0,0.0
republican senate nominee,1.0,0.005,0.0,0.0
moore sexually assaulted,1.0,0.005,0.0,0.0
moore democrat doug,1.0,0.005,0.0,0.0
election democrat doug,1.0,0.005,0.0,0.0
washington moore pursued,1.0,0.004,0.0,0.0
roy moore trump's,1.0,0.004,0.0,0.0
roy moore trump,1.0,0.004,0.0,0.0
roy moore supporters,1.0,0.004,0.0,0.0
roy moore republicans,1.0,0.004,0.0,0.0
roy moore loses,1.0,0.004,0.0,0.0
roy moore concede,1.0,0.004,0.0,0.0
roy moore alabama's,1.0,0.004,0.0,0.0
roy moore accuser,1.0,0.004,0.0,0.0
roy moore accusations,1.0,0.004,0.0,0.0
republican senate alabama,1.0,0.004,0.0,0.0
pursued teenagers 30s,1.0,0.004,0.0,0.0
poll jones moore,1.0,0.004,0.0,0.0
moore senate alabama,1.0,0.004,0.0,0.0
moore republican senate,1.0,0.004,0.0,0.0
moore pursued teenagers,1.0,0.004,0.0,0.0
moore donald trump,1.0,0.004,0.0,0.0
moore alabama's senate,1.0,0.004,0.0,0.0
gop nominee roy,1.0,0.004,0.0,0.0
endorsed roy moore,1.0,0.004,0.0,0.0
doug jones republican,1.0,0.004,0.0,0.0
alabama's senate election,1.0,0.004,0.0,0.0
trump's endorsement roy,1.0,0.003,0.0,0.0
trump roy moore,1.0,0.003,0.0,0.0
trump endorsed moore,1.0,0.003,0.0,0.0
supreme roy moore,1.0,0.003,0.0,0.0
strategist stephen bannon,1.0,0.003,0.0,0.0
senate roy moore's,1.0,0.003,0.0,0.0
senate judge roy,1.0,0.003,0.0,0.0
senate alabama roy,1.0,0.003,0.0,0.0
roy moore's campaign,1.0,0.003,0.0,0.0
roy moore washington,1.0,0.003,0.0,0.0
roy moore speaks,1.0,0.003,0.0,0.0
roy moore election,1.0,0.003,0.0,0.0
republican nomination senate,1.0,0.003,0.0,0.0
opponent doug jones,1.0,0.003,0.0,0.0
nelson alleged moore,1.0,0.003,0.0,0.0
moore tuesday's election,1.0,0.003,0.0,0.0
moore senate expel,1.0,0.003,0.0,0.0
moore republican alabama,1.0,0.003,0.0,0.0
moore doug jones,1.0,0.003,0.0,0.0
moore campaign rally,1.0,0.003,0.0,0.0
moore alabama supreme,1.0,0.003,0.0,0.0
moore alabama republican,1.0,0.003,0.0,0.0
mitch mcconnell r-ky,1.0,0.003,0.0,0.0
jones roy moore,1.0,0.003,0.0,0.0
gop senate roy,1.0,0.003,0.0,0.0
gop roy moore,1.0,0.003,0.0,0.0
endorse roy moore,1.0,0.003,0.0,0.0
election senate alabama,1.0,0.003,0.0,0.0
election roy moore,1.0,0.003,0.0,0.0
doug jones victory,1.0,0.003,0.0,0.0
doug jones roy,1.0,0.003,0.0,0.0
doug jones defeated,1.0,0.003,0.0,0.0
client beverly nelson,1.0,0.003,0.0,0.0
beverly nelson alleged,1.0,0.003,0.0,0.0
bannon roy moore,1.0,0.003,0.0,0.0
alleged moore sexually,1.0,0.003,0.0,0.0
alabama's roy moore,1.0,0.003,0.0,0.0
