term,a1_bin,a1_perc,a2_bin,a2_perc
christine blasey,10.0,0.276,0.0,0.0
blasey ford,10.0,0.27399999999999997,0.0,0.0
brett kavanaugh,4.0,0.096,1.0,0.003
senate judiciary,4.0,0.094,0.0,0.0
ford kavanaugh,3.0,0.065,0.0,0.0
supreme nominee,3.0,0.057,1.0,0.001
nominee brett,2.0,0.046,0.0,0.0
sexually assaulted,2.0,0.037000000000000005,0.0,0.0
kavanaugh sexually,2.0,0.034,0.0,0.0
accuser christine,2.0,0.033,0.0,0.0
kavanaugh ford,2.0,0.031,0.0,0.0
ford's allegations,2.0,0.03,0.0,0.0
ford testify,2.0,0.027999999999999997,0.0,0.0
alleged assault,2.0,0.027999999999999997,0.0,0.0
judge kavanaugh,1.0,0.027000000000000003,0.0,0.0
sexually assaulting,1.0,0.023,1.0,0.002
ford alleged,1.0,0.023,0.0,0.0
ford senate,1.0,0.022000000000000002,0.0,0.0
ford judge,1.0,0.02,0.0,0.0
chuck grassley,1.0,0.02,0.0,0.0
psychology professor,1.0,0.018000000000000002,0.0,0.0
professor christine,1.0,0.018000000000000002,0.0,0.0
kavanaugh accuser,1.0,0.018000000000000002,0.0,0.0
rachel mitchell,1.0,0.017,0.0,0.0
kavanaugh christine,1.0,0.017,0.0,0.0
kavanaugh assault,1.0,0.016,0.0,0.0
judge brett,1.0,0.016,0.0,0.0
testify senate,1.0,0.015,0.0,0.0
kavanaugh's nomination,1.0,0.015,0.0,0.0
judiciary chuck,1.0,0.015,0.0,0.0
ford's allegation,1.0,0.015,0.0,0.0
ford washington,1.0,0.015,0.0,0.0
donald trump,1.0,0.015,1.0,0.023
kavanaugh's accuser,1.0,0.013999999999999999,0.0,0.0
ford testified,1.0,0.013000000000000001,0.0,0.0
ford california,1.0,0.013000000000000001,0.0,0.0
ford alleges,1.0,0.013000000000000001,0.0,0.0
deborah ramirez,1.0,0.013000000000000001,0.0,0.0
brett kavanaugh's,1.0,0.013000000000000001,0.0,0.0
kavanaugh judge,1.0,0.012,0.0,0.0
ford assault,1.0,0.012,0.0,0.0
testified senate,1.0,0.011000000000000001,0.0,0.0
ford's attorneys,1.0,0.011000000000000001,0.0,0.0
ford brett,1.0,0.011000000000000001,0.0,0.0
california professor,1.0,0.011000000000000001,0.0,0.0
blasey ford's,1.0,0.011000000000000001,0.0,0.0
prosecutor rachel,1.0,0.01,0.0,0.0
kavanaugh ford's,1.0,0.01,0.0,0.0
julie swetnick,1.0,0.01,0.0,0.0
judiciary kavanaugh,1.0,0.01,0.0,0.0
ford sexually,1.0,0.01,0.0,0.0
ford allegations,1.0,0.01,0.0,0.0
california psychology,1.0,0.01,0.0,0.0
allegations kavanaugh,1.0,0.01,0.0,0.0
senate republicans,1.0,0.009000000000000001,0.0,0.0
kavanaugh's confirmation,1.0,0.009000000000000001,0.0,0.0
kavanaugh testify,1.0,0.009000000000000001,0.0,0.0
kavanaugh pinned,1.0,0.009000000000000001,0.0,0.0
grassley r-iowa,1.0,0.009000000000000001,0.0,0.0
ford supreme,1.0,0.009000000000000001,0.0,0.0
ford deborah,1.0,0.009000000000000001,0.0,0.0
dianne feinstein,1.0,0.009000000000000001,0.0,0.0
assault allegations,1.0,0.009000000000000001,1.0,0.004
senate democrats,1.0,0.008,0.0,0.0
kavanaugh senate,1.0,0.008,0.0,0.0
kavanaugh assaulted,1.0,0.008,0.0,0.0
ford kavanaugh's,1.0,0.008,0.0,0.0
debra katz,1.0,0.008,0.0,0.0
alleged kavanaugh,1.0,0.008,0.0,0.0
republicans ford,1.0,0.006999999999999999,0.0,0.0
palo alto,1.0,0.006999999999999999,0.0,0.0
kavanaugh misconduct,1.0,0.006999999999999999,0.0,0.0
judiciary ford,1.0,0.006999999999999999,0.0,0.0
judge ford,1.0,0.006999999999999999,0.0,0.0
ford psychologist,1.0,0.006999999999999999,0.0,0.0
fbi investigate,1.0,0.006999999999999999,0.0,0.0
christine ford,1.0,0.006999999999999999,0.0,0.0
assaulted teenagers,1.0,0.006999999999999999,0.0,0.0
alto university,1.0,0.006999999999999999,0.0,0.0
alleges kavanaugh,1.0,0.006999999999999999,0.0,0.0
trump's supreme,1.0,0.006,0.0,0.0
mitchell ford,1.0,0.006,0.0,0.0
