a1_bin,a2_bin,count
0.0,1.0,81
1.0,0.0,136
1.0,1.0,111
1.0,2.0,8
1.0,3.0,3
1.0,6.0,1
2.0,1.0,3
2.0,2.0,5
2.0,4.0,1
3.0,2.0,2
3.0,3.0,2
3.0,5.0,1
4.0,2.0,2
4.0,4.0,1
5.0,2.0,1
6.0,4.0,1
6.0,10.0,1
