term,a1_bin,a1_perc,a2_bin,a2_perc
supreme nominee brett,10.0,0.064,1.0,0.002
nominee brett kavanaugh,10.0,0.063,1.0,0.002
christine blasey ford,8.0,0.045,0.0,0.0
judge brett kavanaugh,6.0,0.038,0.0,0.0
brett kavanaugh supreme,3.0,0.019,0.0,0.0
kavanaugh sexually assaulted,3.0,0.013000000000000001,0.0,0.0
brett kavanaugh misconduct,2.0,0.01,0.0,0.0
brett kavanaugh assault,2.0,0.009000000000000001,0.0,0.0
trump's supreme nominee,2.0,0.008,0.0,0.0
donald trump's supreme,2.0,0.008,0.0,0.0
susan collins r-maine,2.0,0.006999999999999999,0.0,0.0
supreme brett kavanaugh,2.0,0.006999999999999999,0.0,0.0
brett kavanaugh confirmation,2.0,0.006999999999999999,0.0,0.0
leader mitch mcconnell,1.0,0.006,0.0,0.0
kavanaugh christine blasey,1.0,0.006,0.0,0.0
judiciary chuck grassley,1.0,0.006,0.0,0.0
blasey ford kavanaugh,1.0,0.006,0.0,0.0
supreme nominee judge,1.0,0.005,0.0,0.0
senate judiciary chuck,1.0,0.005,0.0,0.0
nominee judge brett,1.0,0.005,0.0,0.0
nomination brett kavanaugh,1.0,0.005,0.0,0.0
kavanaugh sexually assaulting,1.0,0.005,0.0,0.0
christine blasey ford's,1.0,0.005,0.0,0.0
brett kavanaugh's confirmation,1.0,0.005,0.0,0.0
brett kavanaugh sexually,1.0,0.005,0.0,0.0
senate leader mitch,1.0,0.004,0.0,0.0
professor christine blasey,1.0,0.004,0.0,0.0
kavanaugh's nomination supreme,1.0,0.004,0.0,0.0
kavanaugh's nomination senate,1.0,0.004,0.0,0.0
kavanaugh appeals judge,1.0,0.004,0.0,0.0
kavanaugh anthony kennedy,1.0,0.004,0.0,0.0
jeff flake r-ariz,1.0,0.004,0.0,0.0
ford senate judiciary,1.0,0.004,0.0,0.0
confirmation brett kavanaugh,1.0,0.004,0.0,0.0
brett kavanaugh's nomination,1.0,0.004,0.0,0.0
brett kavanaugh senate,1.0,0.004,0.0,0.0
blasey ford senate,1.0,0.004,0.0,0.0
assault supreme nominee,1.0,0.004,0.0,0.0
allegations supreme nominee,1.0,0.004,0.0,0.0
accusing supreme nominee,1.0,0.004,0.0,0.0
trump supreme nominee,1.0,0.003,0.0,0.0
trump brett kavanaugh,1.0,0.003,0.0,0.0
testify senate judiciary,1.0,0.003,0.0,0.0
