term,a1_bin,a1_perc,a2_bin,a2_perc
harvey weinstein,10.0,0.042,3.0,0.01
harassment assault,9.0,0.035,3.0,0.011000000000000001
tarana burke,4.0,0.016,1.0,0.003
assault harassment,3.0,0.012,0.0,0.0
donald trump,3.0,0.011000000000000001,3.0,0.011000000000000001
mogul harvey,3.0,0.01,0.0,0.0
harassment abuse,3.0,0.01,0.0,0.0
producer harvey,3.0,0.009000000000000001,0.0,0.0
misconduct allegations,3.0,0.009000000000000001,4.0,0.015
alyssa milano,3.0,0.009000000000000001,0.0,0.0
harvey weinstein's,2.0,0.008,1.0,0.002
brett kavanaugh,2.0,0.008,2.0,0.006
workplace harassment,2.0,0.006999999999999999,1.0,0.002
victims harassment,2.0,0.006999999999999999,1.0,0.001
tony robbins,2.0,0.006999999999999999,0.0,0.0
assault allegations,2.0,0.006999999999999999,2.0,0.008
asia argento,2.0,0.006999999999999999,0.0,0.0
media campaign,2.0,0.006,0.0,0.0
los angeles,2.0,0.006,1.0,0.003
gender equality,2.0,0.006,0.0,0.0
activist tarana,2.0,0.006,0.0,0.0
sexually harassed,2.0,0.005,2.0,0.006
media harassment,2.0,0.005,0.0,0.0
matt damon,2.0,0.005,0.0,0.0
las vegas,2.0,0.005,1.0,0.002
allegations misconduct,2.0,0.005,4.0,0.013000000000000001
actress alyssa,2.0,0.005,0.0,0.0
accusations misconduct,2.0,0.005,2.0,0.006
abuse harassment,2.0,0.005,0.0,0.0
susan collins,1.0,0.004,0.0,0.0
midterm elections,1.0,0.004,1.0,0.002
mckayla maroney,1.0,0.004,0.0,0.0
cristina garcia,1.0,0.004,0.0,0.0
catherine deneuve,1.0,0.004,0.0,0.0
campaign harassment,1.0,0.004,0.0,0.0
woody allen,1.0,0.003,2.0,0.006
weinstein's alleged,1.0,0.003,1.0,0.001
weinstein scandal,1.0,0.003,0.0,0.0
washington post's,1.0,0.003,0.0,0.0
viral media,1.0,0.003,0.0,0.0
supermodel karlie,1.0,0.003,0.0,0.0
suggesting admiration,1.0,0.003,0.0,0.0
sexually assaulted,1.0,0.003,1.0,0.003
sean penn,1.0,0.003,0.0,0.0
reckoning harassment,1.0,0.003,0.0,0.0
nancy pelosi,1.0,0.003,1.0,0.003
molly ringwald,1.0,0.003,0.0,0.0
misconduct weinstein,1.0,0.003,4.0,0.013000000000000001
les moonves,1.0,0.003,0.0,0.0
labor federation,1.0,0.003,0.0,0.0
keri claussen,1.0,0.003,0.0,0.0
karlie kloss,1.0,0.003,0.0,0.0
hillary clinton's,1.0,0.003,0.0,0.0
hashtag campaign,1.0,0.003,0.0,0.0
harassment workplace,1.0,0.003,0.0,0.0
harassment misconduct,1.0,0.003,1.0,0.002
harassed assaulted,1.0,0.003,1.0,0.002
groping staffer,1.0,0.003,0.0,0.0
french actress,1.0,0.003,0.0,0.0
elizabeth warren,1.0,0.003,0.0,0.0
drugging molesting,1.0,0.003,0.0,0.0
disgraced mogul,1.0,0.003,0.0,0.0
claussen insane,1.0,0.003,0.0,0.0
campaign media,1.0,0.003,0.0,0.0
california labor,1.0,0.003,0.0,0.0
aziz ansari,1.0,0.003,0.0,0.0
assault media,1.0,0.003,0.0,0.0
apologize suggesting,1.0,0.003,0.0,0.0
alleged misconduct,1.0,0.003,2.0,0.005
allegations producer,1.0,0.003,0.0,0.0
allegations mogul,1.0,0.003,0.0,0.0
allegations assault,1.0,0.003,2.0,0.005
academy awards,1.0,0.003,0.0,0.0
abuse victims,1.0,0.003,0.0,0.0
year's oscars,1.0,0.002,0.0,0.0
workplace mistreatment,1.0,0.002,0.0,0.0
women's time's,1.0,0.002,0.0,0.0
women's accusations,1.0,0.002,0.0,0.0
wnba breana,1.0,0.002,0.0,0.0
weinstein sparked,1.0,0.002,0.0,0.0
weinstein sexually,1.0,0.002,0.0,0.0
weinstein donald,1.0,0.002,0.0,0.0
weinstein assault,1.0,0.002,0.0,0.0
weinstein accuser,1.0,0.002,0.0,0.0
vocal unwavering,1.0,0.002,0.0,0.0
victim assault,1.0,0.002,0.0,0.0
vegas casino-resort,1.0,0.002,0.0,0.0
uma thurman,1.0,0.002,1.0,0.001
twitter hashtag,1.0,0.002,1.0,0.001
