term,a1_bin,a1_perc,a2_bin,a2_perc
aziz ansari,10.0,0.46799999999999997,0.0,0.0
comedian aziz,2.0,0.055999999999999994,0.0,0.0
grace ansari,1.0,0.022000000000000002,0.0,0.0
james franco,1.0,0.016,0.0,0.0
aziz ansari's,1.0,0.016,0.0,0.0
ansari allegations,1.0,0.016,0.0,0.0
ashleigh banfield,1.0,0.013999999999999999,0.0,0.0
william macy,1.0,0.013000000000000001,0.0,0.0
sag awards,1.0,0.013000000000000001,0.0,0.0
ansari responds,1.0,0.013000000000000001,0.0,0.0
ansari grace,1.0,0.013000000000000001,0.0,0.0
kal penn,1.0,0.012,0.0,0.0
indications consensual,1.0,0.012,0.0,0.0
ansari misconduct,1.0,0.012,0.0,0.0
ansari assault,1.0,0.012,0.0,0.0
non-verbal cues,1.0,0.011000000000000001,0.0,0.0
hasan minhaj,1.0,0.011000000000000001,0.0,0.0
harvey weinstein,1.0,0.011000000000000001,0.0,0.0
anthony anderson,1.0,0.011000000000000001,0.0,0.0
ansari consensual,1.0,0.011000000000000001,0.0,0.0
macy shameless,1.0,0.01,0.0,0.0
anonymous woman's,1.0,0.01,0.0,0.0
amy schumer,1.0,0.01,0.0,0.0
amy poehler,1.0,0.01,0.0,0.0
website babe.net,1.0,0.009000000000000001,0.0,0.0
marvelous maisel,1.0,0.009000000000000001,0.0,0.0
lena waithe,1.0,0.009000000000000001,0.0,0.0
ansari's accuser,1.0,0.009000000000000001,0.0,0.0
kevin hart,1.0,0.008,0.0,0.0
bari weiss,1.0,0.008,0.0,0.0
babe ansari,1.0,0.008,0.0,0.0
ansari netflix,1.0,0.008,0.0,0.0
anderson black-ish,1.0,0.008,0.0,0.0
allegations ansari,1.0,0.008,0.0,0.0
woman's ansari,1.0,0.006999999999999999,0.0,0.0
nonverbal cues,1.0,0.006999999999999999,0.0,0.0
netflix aziz,1.0,0.006999999999999999,0.0,0.0
babe.net ansari,1.0,0.006999999999999999,0.0,0.0
ansari's alleged,1.0,0.006999999999999999,0.0,0.0
ansari uncomfortable,1.0,0.006999999999999999,0.0,0.0
ansari repeatedly,1.0,0.006999999999999999,0.0,0.0
ansari kal,1.0,0.006999999999999999,0.0,0.0
ansari indications,1.0,0.006999999999999999,0.0,0.0
affirmative consent,1.0,0.006999999999999999,0.0,0.0
actress tv,1.0,0.006999999999999999,0.0,0.0
website babe,1.0,0.006,0.0,0.0
tv aziz,1.0,0.006,0.0,0.0
samantha bee,1.0,0.006,0.0,0.0
misconduct allegation,1.0,0.006,0.0,0.0
mindy kaling,1.0,0.006,0.0,0.0
louis aziz,1.0,0.006,0.0,0.0
guild awards,1.0,0.006,0.0,0.0
grace aziz,1.0,0.006,0.0,0.0
caitlin flanagan,1.0,0.006,0.0,0.0
black-ish aziz,1.0,0.006,0.0,0.0
beverly hills,1.0,0.006,0.0,0.0
ansari violated,1.0,0.006,0.0,0.0
ansari none's,1.0,0.006,0.0,0.0
ansari kevin,1.0,0.006,0.0,0.0
alleged misconduct,1.0,0.006,0.0,0.0
alan yang,1.0,0.006,0.0,0.0
actors guild,1.0,0.006,0.0,0.0
writer aziz,1.0,0.005,0.0,0.0
woman's comedian,1.0,0.005,0.0,0.0
uncomfortable massage,1.0,0.005,0.0,0.0
titled aziz,1.0,0.005,0.0,0.0
time's pin,1.0,0.005,0.0,0.0
sean hayes,1.0,0.005,0.0,0.0
rachel brosnahan,1.0,0.005,0.0,0.0
none's rebuild,1.0,0.005,0.0,0.0
misconduct comedian,1.0,0.005,0.0,0.0
misconduct allegations,1.0,0.005,1.0,0.008
massage coerce,1.0,0.005,0.0,0.0
marc maron,1.0,0.005,0.0,0.0
larry david,1.0,0.005,0.0,0.0
hln anchor,1.0,0.005,0.0,0.0
grace's ansari,1.0,0.005,0.0,0.0
globe awards,1.0,0.005,0.0,0.0
franco attends,1.0,0.005,0.0,0.0
everyday interaction,1.0,0.005,0.0,0.0
criminal behavior's,1.0,0.005,0.0,0.0
coerce aziz,1.0,0.005,0.0,0.0
aziz criminal,1.0,0.005,0.0,0.0
awards misconduct,1.0,0.005,0.0,0.0
assault consensual,1.0,0.005,0.0,0.0
aparna nancherla,1.0,0.005,0.0,0.0
ansari scandal,1.0,0.005,0.0,0.0
ansari pressured,1.0,0.005,0.0,0.0
ansari nominated,1.0,0.005,0.0,0.0
ansari grace's,1.0,0.005,0.0,0.0
ansari globe,1.0,0.005,0.0,0.0
ansari everyday,1.0,0.005,0.0,0.0
ansari episode,1.0,0.005,0.0,0.0
ansari babe.net,1.0,0.005,0.0,0.0
ansari accusation,1.0,0.005,0.0,0.0
allegations misconduct,1.0,0.005,1.0,0.005
